filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,Path Reversal,update data structure,PR-RST module,Update rep array,Hash Table look up
kmer_A2a.egr,86842,170728175,360595876,100000,585.841,307.52,193.31,47.64,28.35,4.75,4.22,0.03,0.02
kmer_A2a.egr,86834,170728175,360595876,100000,594.269,316.11,193.7,47.7,28.38,4.76,3.56,0.03,0.02
kmer_A2a.egr,86818,170728175,360595876,100000,584.137,300.17,193.82,53.45,28.41,4.69,3.53,0.05,0.03
kmer_A2a.egr,86910,170728175,360595876,100000,584.285,304.32,193.32,47.76,28.37,6.91,3.55,0.03,0.02
kmer_A2a.egr,86653,170728175,360595876,100000,599.957,323.09,192.6,47.64,28.32,4.78,3.46,0.03,0.03
kmer_A2a.egr,8664,170728175,360595876,10000,498.702,298.91,125.36,45.17,21.52,4.88,2.82,0.02,0.02
kmer_A2a.egr,8648,170728175,360595876,10000,497.119,297.93,125.84,45.09,21.43,4.63,2.16,0.02,0.02
kmer_A2a.egr,8616,170728175,360595876,10000,551.853,297.36,138.31,73.04,21.77,4.65,16.44,0.22,0.07
kmer_A2a.egr,8749,170728175,360595876,10000,519.81,319.32,126.73,45.26,21.6,4.69,2.19,0.02,0.02
kmer_A2a.egr,8641,170728175,360595876,10000,503.404,304.83,125.13,45.23,21.36,4.56,2.24,0.02,0.02
kmer_A2a.egr,93,170728175,360595876,100,474.309,321.16,100.52,42.83,4.25,4.71,0.8,0.02,0.02
kmer_A2a.egr,91,170728175,360595876,100,479.044,311.78,109.52,47.87,4.42,4.59,0.83,0.02,0.01
kmer_A2a.egr,84,170728175,360595876,100,461.801,309.01,100.62,42.78,4.0,4.56,0.8,0.02,0.01
kmer_A2a.egr,87,170728175,360595876,100,459.743,306.12,100.35,43.4,3.91,5.05,0.84,0.04,0.02
kmer_A2a.egr,81,170728175,360595876,100,459.093,301.06,101.27,44.9,4.2,6.46,1.17,0.02,0.01
kmer_A2a.egr,867,170728175,360595876,1000,458.032,302.89,101.55,43.21,4.66,4.61,1.08,0.02,0.02
kmer_A2a.egr,869,170728175,360595876,1000,458.475,303.01,101.31,43.53,4.69,4.83,1.07,0.02,0.02
kmer_A2a.egr,874,170728175,360595876,1000,472.577,316.64,101.49,43.92,4.62,4.76,1.1,0.03,0.02
kmer_A2a.egr,850,170728175,360595876,1000,452.929,297.77,101.26,43.02,4.64,4.68,1.51,0.02,0.02
kmer_A2a.egr,881,170728175,360595876,1000,474.082,318.76,101.74,43.17,4.71,4.61,1.07,0.02,0.02
