filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,Path Reversal,update data structure,PR-RST module,Update rep array,Hash Table look up
kmer_P1a.egr,86609,139353211,297845870,100000,482.838,262.48,151.24,39.21,22.31,4.21,3.34,0.03,0.02
kmer_P1a.egr,86598,139353211,297845870,100000,474.397,250.15,151.22,39.12,22.34,7.28,4.24,0.03,0.02
kmer_P1a.egr,86867,139353211,297845870,100000,485.491,259.03,152.05,44.42,22.32,4.09,3.49,0.06,0.03
kmer_P1a.egr,86530,139353211,297845870,100000,487.722,267.59,151.29,39.15,22.26,4.01,3.37,0.03,0.02
kmer_P1a.egr,86673,139353211,297845870,100000,477.528,257.0,151.61,39.19,22.25,4.04,3.39,0.02,0.02
kmer_P1a.egr,8715,139353211,297845870,10000,407.4,248.79,98.37,37.32,16.84,3.89,2.16,0.02,0.02
kmer_P1a.egr,8694,139353211,297845870,10000,411.19,252.9,97.94,37.17,16.91,4.08,2.16,0.02,0.02
kmer_P1a.egr,8676,139353211,297845870,10000,407.698,250.24,97.36,37.44,16.79,4.3,1.55,0.02,0.02
kmer_P1a.egr,8715,139353211,297845870,10000,405.869,247.56,98.16,37.22,16.85,3.89,2.15,0.02,0.02
kmer_P1a.egr,8696,139353211,297845870,10000,419.434,260.88,98.34,37.3,16.87,3.84,2.17,0.02,0.02
kmer_P1a.egr,85,139353211,297845870,100,382.932,260.91,78.56,35.22,3.38,4.0,0.82,0.02,0.01
kmer_P1a.egr,83,139353211,297845870,100,369.747,244.7,78.58,38.24,3.42,3.95,0.82,0.02,0.02
kmer_P1a.egr,81,139353211,297845870,100,372.585,251.1,78.45,35.3,3.01,3.87,0.82,0.02,0.01
kmer_P1a.egr,84,139353211,297845870,100,387.018,265.4,78.49,35.05,3.36,3.86,0.83,0.02,0.01
kmer_P1a.egr,89,139353211,297845870,100,396.834,275.13,78.52,35.16,3.16,3.98,0.84,0.03,0.03
kmer_P1a.egr,877,139353211,297845870,1000,388.154,264.07,79.44,35.51,3.79,4.17,1.13,0.03,0.02
kmer_P1a.egr,865,139353211,297845870,1000,404.443,280.6,79.22,35.37,3.72,3.97,1.52,0.02,0.02
kmer_P1a.egr,867,139353211,297845870,1000,386.285,262.26,79.29,35.39,3.8,3.93,1.56,0.02,0.03
kmer_P1a.egr,869,139353211,297845870,1000,397.764,274.14,79.35,35.5,3.69,3.93,1.11,0.03,0.02
kmer_P1a.egr,858,139353211,297845870,1000,379.084,254.82,79.43,35.45,3.82,4.03,1.5,0.02,0.02
