filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,Path Reversal,PR-RST module,update data structure,Update rep array,Hash Table look up
kmer_U1a.egr,91916,67716231,138866824,100000,286.859,157.0,93.78,19.08,10.63,4.11,2.22,0.03,0.02
kmer_U1a.egr,91850,67716231,138866824,100000,296.658,168.68,91.24,19.13,10.62,4.81,2.12,0.03,0.03
kmer_U1a.egr,91849,67716231,138866824,100000,265.73,159.77,70.62,19.08,10.63,3.45,2.13,0.03,0.02
kmer_U1a.egr,91732,67716231,138866824,100000,283.085,171.72,75.72,19.19,10.68,3.49,2.22,0.03,0.04
kmer_U1a.egr,91831,67716231,138866824,100000,286.889,173.02,78.6,19.14,10.6,3.35,2.13,0.03,0.02
kmer_U1a.egr,9185,67716231,138866824,10000,228.878,148.79,48.28,18.8,8.74,2.18,2.04,0.02,0.02
kmer_U1a.egr,9214,67716231,138866824,10000,255.82,172.69,52.93,18.06,7.9,2.09,2.11,0.02,0.02
kmer_U1a.egr,9155,67716231,138866824,10000,244.883,169.78,44.93,18.11,7.85,2.08,2.1,0.02,0.02
kmer_U1a.egr,9174,67716231,138866824,10000,244.697,169.34,45.15,18.11,7.94,2.09,2.04,0.02,0.02
kmer_U1a.egr,9134,67716231,138866824,10000,251.146,174.27,46.78,18.07,7.9,2.07,2.03,0.02,0.02
kmer_U1a.egr,92,67716231,138866824,100,219.53,162.89,35.21,17.3,1.24,0.82,2.04,0.01,0.01
kmer_U1a.egr,93,67716231,138866824,100,227.026,170.35,35.1,17.28,1.39,0.85,2.01,0.03,0.02
kmer_U1a.egr,94,67716231,138866824,100,234.556,174.34,38.55,17.32,1.4,0.87,2.02,0.03,0.02
kmer_U1a.egr,93,67716231,138866824,100,253.923,173.83,52.92,22.71,1.5,0.87,2.04,0.03,0.02
kmer_U1a.egr,97,67716231,138866824,100,249.898,172.47,52.82,19.79,1.53,0.85,2.4,0.02,0.02
kmer_U1a.egr,913,67716231,138866824,1000,221.13,163.14,35.59,17.45,1.75,1.12,2.03,0.02,0.03
kmer_U1a.egr,901,67716231,138866824,1000,231.122,172.65,35.86,17.57,1.73,1.14,2.13,0.02,0.02
kmer_U1a.egr,932,67716231,138866824,1000,246.758,172.39,52.06,17.39,1.78,1.09,2.02,0.02,0.02
kmer_U1a.egr,928,67716231,138866824,1000,237.07,173.43,41.22,17.38,1.77,1.12,2.1,0.02,0.02
kmer_U1a.egr,921,67716231,138866824,1000,212.413,154.38,35.57,17.37,1.77,1.06,2.22,0.02,0.02
