filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,Path Reversal,update data structure,PR-RST module,Update rep array,Hash Table look up
kmer_V1r.egr,85567,214005017,465410920,100000,643.567,313.06,225.2,59.87,33.83,6.12,5.43,0.03,0.02
kmer_V1r.egr,85621,214005017,465410920,100000,653.062,322.33,225.35,59.97,33.79,6.07,5.48,0.04,0.03
kmer_V1r.egr,85629,214005017,465410920,100000,643.033,313.79,224.87,59.92,33.83,6.04,4.54,0.03,0.02
kmer_V1r.egr,85811,214005017,465410920,100000,656.605,321.03,225.31,65.84,33.7,6.26,4.41,0.04,0.03
kmer_V1r.egr,85738,214005017,465410920,100000,640.979,311.36,225.12,59.9,33.78,6.05,4.73,0.03,0.02
kmer_V1r.egr,8626,214005017,465410920,10000,573.606,329.12,152.94,57.37,26.25,6.11,1.75,0.03,0.02
kmer_V1r.egr,8639,214005017,465410920,10000,559.035,311.98,153.62,58.44,26.6,5.98,2.37,0.02,0.02
kmer_V1r.egr,8527,214005017,465410920,10000,564.283,319.91,152.66,57.43,26.18,5.8,2.28,0.02,0.02
kmer_V1r.egr,8594,214005017,465410920,10000,562.697,317.25,153.42,57.75,26.59,5.96,1.69,0.02,0.02
kmer_V1r.egr,8539,214005017,465410920,10000,578.463,333.16,153.3,57.28,26.35,5.97,2.35,0.02,0.02
kmer_V1r.egr,84,214005017,465410920,100,494.224,310.46,118.77,53.37,4.78,5.99,0.82,0.02,0.02
kmer_V1r.egr,97,214005017,465410920,100,501.229,317.46,118.94,53.45,4.46,6.08,0.8,0.02,0.02
kmer_V1r.egr,77,214005017,465410920,100,510.512,326.91,119.04,53.14,4.7,5.84,0.84,0.02,0.02
kmer_V1r.egr,79,214005017,465410920,100,499.671,316.17,118.83,53.29,4.73,5.82,0.8,0.02,0.01
kmer_V1r.egr,81,214005017,465410920,100,490.206,306.48,118.88,53.43,4.75,5.82,0.81,0.02,0.01
kmer_V1r.egr,858,214005017,465410920,1000,503.966,317.49,120.01,53.78,5.69,5.85,1.1,0.02,0.02
kmer_V1r.egr,843,214005017,465410920,1000,495.003,308.05,120.03,54.05,5.93,5.79,1.11,0.02,0.02
kmer_V1r.egr,850,214005017,465410920,1000,497.285,310.04,120.12,53.97,5.6,5.96,1.54,0.03,0.02
kmer_V1r.egr,852,214005017,465410920,1000,503.549,316.47,119.95,53.95,5.9,6.13,1.11,0.03,0.02
kmer_V1r.egr,850,214005017,465410920,1000,523.032,335.41,120.27,53.99,5.87,5.91,1.53,0.02,0.02
