filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,Path Reversal,PR-RST module,update data structure,Hash Table look up,Update rep array
kmer_V2a.egr,82847,55042369,117248284,100000,232.586,138.22,64.66,16.31,7.93,3.5,1.91,0.03,0.03
kmer_V2a.egr,82934,55042369,117248284,100000,227.237,124.73,65.93,19.43,11.08,4.12,1.89,0.03,0.03
kmer_V2a.egr,82948,55042369,117248284,100000,239.489,129.97,72.12,20.69,10.44,4.33,1.87,0.03,0.03
kmer_V2a.egr,83040,55042369,117248284,100000,219.759,138.23,49.61,18.63,7.91,3.42,1.91,0.02,0.02
kmer_V2a.egr,82857,55042369,117248284,100000,215.703,135.92,50.22,16.28,7.88,3.42,1.93,0.02,0.02
kmer_V2a.egr,8268,55042369,117248284,10000,214.763,135.78,47.81,21.49,5.69,2.09,1.86,0.02,0.02
kmer_V2a.egr,8264,55042369,117248284,10000,214.214,131.05,46.39,22.77,9.37,2.76,1.82,0.03,0.03
kmer_V2a.egr,8263,55042369,117248284,10000,204.912,136.2,43.42,15.57,5.53,2.27,1.88,0.03,0.02
kmer_V2a.egr,8296,55042369,117248284,10000,210.093,136.19,47.58,16.66,5.61,2.17,1.84,0.02,0.03
kmer_V2a.egr,8296,55042369,117248284,10000,222.622,137.96,48.51,21.66,9.78,2.87,1.8,0.03,0.02
kmer_V2a.egr,87,55042369,117248284,100,197.162,138.44,39.23,15.64,1.12,0.89,1.8,0.02,0.03
kmer_V2a.egr,76,55042369,117248284,100,169.408,123.5,26.93,15.16,1.19,0.84,1.76,0.02,0.02
kmer_V2a.egr,86,55042369,117248284,100,186.951,138.14,29.93,14.9,1.28,0.86,1.79,0.02,0.02
kmer_V2a.egr,83,55042369,117248284,100,202.778,138.56,39.31,20.57,1.41,1.08,1.79,0.03,0.02
kmer_V2a.egr,85,55042369,117248284,100,198.583,136.07,39.39,19.18,1.26,0.86,1.78,0.02,0.02
kmer_V2a.egr,822,55042369,117248284,1000,182.596,135.95,27.17,15.01,1.45,1.09,1.87,0.02,0.02
kmer_V2a.egr,822,55042369,117248284,1000,186.561,136.56,26.44,19.28,1.43,1.08,1.74,0.02,0.02
kmer_V2a.egr,835,55042369,117248284,1000,203.478,138.1,39.81,19.84,1.96,1.88,1.85,0.02,0.02
kmer_V2a.egr,813,55042369,117248284,1000,200.612,135.55,39.96,19.98,1.96,1.37,1.74,0.02,0.02
kmer_V2a.egr,831,55042369,117248284,1000,171.231,123.39,27.61,15.44,1.45,1.54,1.76,0.02,0.02
