filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
kron_g500-logn20.egr,1442,1048576,89745562,100000,23.2222,14.65,5.08,1.63,1.44,0.34,0.05,0.02,0.01
kron_g500-logn20.egr,1475,1048576,89745562,100000,22.6836,14.58,5.06,1.18,1.44,0.34,0.05,0.01,0.01
kron_g500-logn20.egr,1397,1048576,89745562,100000,23.2711,14.62,5.63,1.17,1.43,0.34,0.05,0.02,0.01
kron_g500-logn20.egr,1454,1048576,89745562,100000,23.2906,14.64,5.58,1.16,1.47,0.34,0.06,0.02,0.01
kron_g500-logn20.egr,1507,1048576,89745562,100000,22.9136,14.57,5.26,1.17,1.5,0.34,0.06,0.02,0.01
kron_g500-logn20.egr,124,1048576,89745562,10000,22.8027,14.43,5.64,0.86,1.44,0.34,0.05,0.02,0.02
kron_g500-logn20.egr,160,1048576,89745562,10000,22.863,14.53,5.6,0.87,1.46,0.33,0.05,0.01,0.01
kron_g500-logn20.egr,158,1048576,89745562,10000,22.8775,14.61,5.6,0.87,1.39,0.33,0.05,0.02,0.01
kron_g500-logn20.egr,124,1048576,89745562,10000,23.6626,15.43,5.57,0.8,1.45,0.34,0.05,0.01,0.01
kron_g500-logn20.egr,152,1048576,89745562,10000,21.915,13.98,5.26,0.88,1.38,0.34,0.05,0.02,0.01
kron_g500-logn20.egr,1,1048576,89745562,100,38.148,30.44,5.57,0.36,1.38,0.32,0.05,0.02,0.01
kron_g500-logn20.egr,3,1048576,89745562,100,40.8646,33.65,5.13,0.29,1.38,0.34,0.04,0.01,0.01
kron_g500-logn20.egr,0,1048576,89745562,100,17.6638,10.73,5.25,,1.34,0.34,,,0.01
kron_g500-logn20.egr,3,1048576,89745562,100,17.9836,10.79,5.09,0.29,1.42,0.33,0.03,0.01,0.01
kron_g500-logn20.egr,2,1048576,89745562,100,25.0791,17.25,5.65,0.35,1.41,0.33,0.06,0.02,0.02
kron_g500-logn20.egr,17,1048576,89745562,1000,37.1741,29.65,5.27,0.41,1.44,0.33,0.04,0.01,0.01
kron_g500-logn20.egr,14,1048576,89745562,1000,32.7549,24.75,5.58,0.59,1.44,0.33,0.04,0.01,0.01
kron_g500-logn20.egr,20,1048576,89745562,1000,27.9749,19.6,5.3,0.71,1.93,0.34,0.06,0.02,0.02
kron_g500-logn20.egr,16,1048576,89745562,1000,29.6516,21.4,5.56,0.91,1.38,0.34,0.04,0.01,0.01
kron_g500-logn20.egr,10,1048576,89745562,1000,28.7364,20.94,5.57,0.37,1.46,0.33,0.04,0.01,0.01
