filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Update rep array,Hash Table look up
kron_g500-logn21.egr,1352,2097152,183188180,100000,60.6778,40.32,15.18,2.74,1.53,0.74,0.12,0.03,0.02
kron_g500-logn21.egr,1390,2097152,183188180,100000,61.7083,40.47,15.48,2.81,2.05,0.74,0.12,0.02,0.02
kron_g500-logn21.egr,1304,2097152,183188180,100000,60.8966,40.7,15.18,2.64,1.48,0.74,0.12,0.02,0.02
kron_g500-logn21.egr,1399,2097152,183188180,100000,61.4886,40.8,15.14,2.59,2.06,0.74,0.12,0.02,0.02
kron_g500-logn21.egr,1391,2097152,183188180,100000,60.8527,40.36,15.21,2.81,1.55,0.74,0.13,0.03,0.03
kron_g500-logn21.egr,139,2097152,183188180,10000,64.1644,44.47,15.21,2.55,1.08,0.72,0.1,0.02,0.02
kron_g500-logn21.egr,145,2097152,183188180,10000,57.6759,38.0,15.2,2.5,1.11,0.72,0.09,0.02,0.02
kron_g500-logn21.egr,139,2097152,183188180,10000,63.267,43.4,15.22,2.65,1.13,0.72,0.1,0.03,0.02
kron_g500-logn21.egr,127,2097152,183188180,10000,59.5479,39.98,15.17,2.56,0.99,0.72,0.09,0.01,0.02
kron_g500-logn21.egr,126,2097152,183188180,10000,63.6369,43.95,15.23,2.54,1.05,0.73,0.1,0.02,0.02
kron_g500-logn21.egr,2,2097152,183188180,100,106.473,87.54,15.22,2.62,0.3,0.71,0.06,0.02,0.01
kron_g500-logn21.egr,0,2097152,183188180,100,42.841,24.54,15.13,2.44,,0.71,,0.02,
kron_g500-logn21.egr,2,2097152,183188180,100,139.454,120.41,15.26,2.54,0.41,0.72,0.08,0.02,0.02
kron_g500-logn21.egr,2,2097152,183188180,100,114.734,95.74,15.24,2.56,0.39,0.71,0.06,0.02,0.02
kron_g500-logn21.egr,2,2097152,183188180,100,83.403,64.53,15.17,2.58,0.33,0.71,0.07,0.01,0.02
kron_g500-logn21.egr,12,2097152,183188180,1000,95.2025,75.73,15.29,2.54,0.79,0.72,0.09,0.03,0.02
kron_g500-logn21.egr,12,2097152,183188180,1000,96.614,77.53,15.16,2.65,0.46,0.72,0.07,0.02,0.02
kron_g500-logn21.egr,10,2097152,183188180,1000,82.6709,64.6,14.37,2.48,0.4,0.72,0.06,0.02,0.02
kron_g500-logn21.egr,16,2097152,183188180,1000,110.23,90.8,15.24,2.53,0.82,0.72,0.08,0.02,0.02
kron_g500-logn21.egr,17,2097152,183188180,1000,106.988,87.73,15.22,2.67,0.52,0.73,0.08,0.02,0.02
