filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Update rep array,Hash Table look up
ljournal-2008.egr,7819,5363260,99028690,100000,53.5436,24.31,23.64,2.22,1.74,1.37,0.23,0.02,0.02
ljournal-2008.egr,7775,5363260,99028690,100000,53.5228,24.25,23.76,2.23,1.63,1.37,0.23,0.02,0.02
ljournal-2008.egr,7709,5363260,99028690,100000,54.1214,24.78,23.68,2.21,1.79,1.37,0.23,0.02,0.02
ljournal-2008.egr,7620,5363260,99028690,100000,53.5588,24.37,23.66,2.22,1.67,1.37,0.23,0.02,0.02
ljournal-2008.egr,7807,5363260,99028690,100000,53.685,24.42,23.72,2.26,1.63,1.38,0.23,0.02,0.02
ljournal-2008.egr,744,5363260,99028690,10000,53.4689,25.86,23.14,1.37,1.54,1.31,0.21,0.02,0.02
ljournal-2008.egr,781,5363260,99028690,10000,50.9954,23.91,22.59,1.38,1.54,1.33,0.21,0.02,0.02
ljournal-2008.egr,778,5363260,99028690,10000,51.6383,24.19,23.0,1.34,1.53,1.32,0.21,0.02,0.02
ljournal-2008.egr,812,5363260,99028690,10000,51.2208,23.99,22.69,1.35,1.61,1.33,0.21,0.02,0.02
ljournal-2008.egr,755,5363260,99028690,10000,54.4151,24.02,22.43,1.94,4.45,1.33,0.21,0.02,0.02
ljournal-2008.egr,12,5363260,99028690,100,67.5659,24.83,39.22,0.46,1.61,1.27,0.15,0.02,0.02
ljournal-2008.egr,5,5363260,99028690,100,63.4719,23.65,36.38,0.4,1.6,1.28,0.14,0.02,0.02
ljournal-2008.egr,9,5363260,99028690,100,73.3896,23.91,45.58,0.79,1.61,1.29,0.17,0.02,0.02
ljournal-2008.egr,7,5363260,99028690,100,69.6623,23.98,42.31,0.38,1.55,1.28,0.14,0.01,0.02
ljournal-2008.egr,6,5363260,99028690,100,72.3863,26.28,42.74,0.36,1.58,1.29,0.11,0.02,0.01
ljournal-2008.egr,88,5363260,99028690,1000,56.3966,24.36,28.0,1.02,1.52,1.29,0.17,0.02,0.02
ljournal-2008.egr,66,5363260,99028690,1000,57.8781,26.09,27.79,0.99,1.54,1.28,0.17,0.02,0.02
ljournal-2008.egr,68,5363260,99028690,1000,58.0433,24.36,29.69,0.98,1.54,1.28,0.17,0.02,0.02
ljournal-2008.egr,78,5363260,99028690,1000,58.2749,23.93,30.33,0.99,1.54,1.27,0.17,0.02,0.02
ljournal-2008.egr,75,5363260,99028690,1000,58.3573,24.75,29.48,1.02,1.6,1.3,0.17,0.02,0.02
