filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
rgg_n_2_23_s0.egr,12910,8388608,127002794,100000,62.0479,30.28,23.28,3.44,2.63,2.05,0.34,0.02,0.02
rgg_n_2_23_s0.egr,12905,8388608,127002794,100000,62.7152,30.25,23.07,4.25,2.63,2.13,0.34,0.02,0.02
rgg_n_2_23_s0.egr,13135,8388608,127002794,100000,60.8868,30.35,22.38,3.05,2.63,2.15,0.29,0.02,0.02
rgg_n_2_23_s0.egr,13070,8388608,127002794,100000,63.4225,30.23,23.1,5.04,2.63,2.04,0.34,0.02,0.02
rgg_n_2_23_s0.egr,12989,8388608,127002794,100000,61.8991,30.25,23.13,3.45,2.63,2.06,0.34,0.02,0.02
rgg_n_2_23_s0.egr,1270,8388608,127002794,10000,60.4792,30.24,23.25,2.1,2.63,1.91,0.31,0.02,0.02
rgg_n_2_23_s0.egr,1276,8388608,127002794,10000,60.4707,30.27,23.23,2.12,2.64,1.86,0.31,0.02,0.02
rgg_n_2_23_s0.egr,1305,8388608,127002794,10000,60.6855,30.27,23.41,2.11,2.63,1.92,0.31,0.02,0.02
rgg_n_2_23_s0.egr,1270,8388608,127002794,10000,60.3131,30.25,23.16,2.08,2.63,1.84,0.3,0.02,0.02
rgg_n_2_23_s0.egr,1334,8388608,127002794,10000,44.6948,19.24,20.09,1.86,1.84,1.36,0.26,0.02,0.02
rgg_n_2_23_s0.egr,11,8388608,127002794,100,38.2104,19.32,15.41,0.37,1.75,1.25,0.09,0.01,0.01
rgg_n_2_23_s0.egr,17,8388608,127002794,100,57.384,30.26,20.77,0.51,3.77,1.89,0.14,0.02,0.02
rgg_n_2_23_s0.egr,5,8388608,127002794,100,54.9222,30.26,19.44,0.47,2.65,1.9,0.15,0.02,0.02
rgg_n_2_23_s0.egr,15,8388608,127002794,100,55.7732,30.26,20.13,0.74,2.65,1.81,0.15,0.02,0.02
rgg_n_2_23_s0.egr,11,8388608,127002794,100,55.3977,30.3,20.0,0.45,2.65,1.84,0.13,0.02,0.02
rgg_n_2_23_s0.egr,127,8388608,127002794,1000,59.9939,30.26,23.89,0.98,2.64,1.92,0.27,0.02,0.02
rgg_n_2_23_s0.egr,143,8388608,127002794,1000,61.1775,30.29,25.0,1.11,2.64,1.85,0.25,0.02,0.02
rgg_n_2_23_s0.egr,139,8388608,127002794,1000,59.0391,30.33,22.79,1.1,2.64,1.88,0.25,0.03,0.02
rgg_n_2_23_s0.egr,141,8388608,127002794,1000,40.6168,19.23,17.28,0.87,1.73,1.3,0.18,0.01,0.02
rgg_n_2_23_s0.egr,139,8388608,127002794,1000,60.4358,30.35,24.17,1.1,2.64,1.88,0.26,0.02,0.02
