filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Hash Table look up,Update rep array
rgg_n_2_24_s0.egr,12675,16777216,265114402,100000,103.054,45.26,43.83,5.16,4.89,3.28,0.59,0.03,0.02
rgg_n_2_24_s0.egr,12523,16777216,265114402,100000,110.513,47.49,47.8,5.74,5.34,3.48,0.63,0.02,0.02
rgg_n_2_24_s0.egr,12470,16777216,265114402,100000,108.902,47.58,48.09,3.79,5.36,3.43,0.62,0.02,0.02
rgg_n_2_24_s0.egr,12560,16777216,265114402,100000,101.983,47.61,42.19,3.71,5.35,2.65,0.43,0.02,0.02
rgg_n_2_24_s0.egr,12606,16777216,265114402,100000,105.551,46.19,45.71,3.81,5.12,4.08,0.6,0.02,0.02
rgg_n_2_24_s0.egr,1293,16777216,265114402,10000,107.9,47.63,48.72,3.51,5.35,2.08,0.57,0.02,0.02
rgg_n_2_24_s0.egr,1286,16777216,265114402,10000,105.388,47.48,46.66,3.86,5.34,1.63,0.39,0.02,0.02
rgg_n_2_24_s0.egr,1238,16777216,265114402,10000,108.473,47.5,49.24,3.74,5.33,2.06,0.57,0.02,0.02
rgg_n_2_24_s0.egr,1246,16777216,265114402,10000,108.265,47.51,49.2,3.47,5.35,2.12,0.57,0.02,0.02
rgg_n_2_24_s0.egr,1249,16777216,265114402,10000,102.666,47.49,43.83,3.49,5.34,2.08,0.4,0.02,0.02
rgg_n_2_24_s0.egr,11,16777216,265114402,100,97.0442,47.54,40.0,3.41,5.36,0.46,0.23,0.02,0.02
rgg_n_2_24_s0.egr,9,16777216,265114402,100,96.8889,47.52,39.87,3.47,5.36,0.44,0.2,0.02,0.02
rgg_n_2_24_s0.egr,10,16777216,265114402,100,97.1863,47.51,40.02,3.55,5.37,0.45,0.24,0.02,0.02
rgg_n_2_24_s0.egr,12,16777216,265114402,100,96.0182,47.46,39.06,3.54,5.38,0.38,0.16,0.02,0.02
rgg_n_2_24_s0.egr,16,16777216,265114402,100,98.6525,47.49,41.24,3.5,5.36,0.81,0.23,0.02,0.02
rgg_n_2_24_s0.egr,117,16777216,265114402,1000,106.271,47.54,48.29,3.6,5.36,1.02,0.42,0.02,0.02
rgg_n_2_24_s0.egr,123,16777216,265114402,1000,106.051,47.56,48.2,3.49,5.34,1.0,0.43,0.02,0.02
rgg_n_2_24_s0.egr,124,16777216,265114402,1000,104.339,47.54,46.16,3.98,5.35,0.96,0.3,0.02,0.02
rgg_n_2_24_s0.egr,116,16777216,265114402,1000,100.767,47.52,42.94,3.52,5.4,0.95,0.39,0.02,0.02
rgg_n_2_24_s0.egr,123,16777216,265114402,1000,102.684,47.51,44.91,3.67,5.36,0.87,0.32,0.02,0.02
