filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
soc-LiveJournal1.egr,7676,4847571,85706224,100000,53.9676,25.4,21.64,3.33,1.61,1.58,0.35,0.03,0.02
soc-LiveJournal1.egr,7473,4847571,85706224,100000,52.6405,25.19,21.59,2.38,1.58,1.53,0.33,0.02,0.02
soc-LiveJournal1.egr,7679,4847571,85706224,100000,54.5055,26.01,21.69,3.28,1.59,1.54,0.34,0.03,0.03
soc-LiveJournal1.egr,7541,4847571,85706224,100000,53.6163,25.99,21.67,2.45,1.59,1.54,0.33,0.02,0.02
soc-LiveJournal1.egr,7528,4847571,85706224,100000,52.4506,25.15,21.52,2.35,1.59,1.47,0.34,0.02,0.02
soc-LiveJournal1.egr,754,4847571,85706224,10000,48.8623,25.01,19.47,1.34,1.38,1.38,0.24,0.02,0.02
soc-LiveJournal1.egr,737,4847571,85706224,10000,49.0574,24.98,19.67,1.34,1.38,1.41,0.24,0.02,0.02
soc-LiveJournal1.egr,784,4847571,85706224,10000,49.2358,25.34,19.49,1.37,1.38,1.37,0.24,0.02,0.02
soc-LiveJournal1.egr,745,4847571,85706224,10000,49.834,25.26,20.18,1.36,1.38,1.38,0.24,0.02,0.02
soc-LiveJournal1.egr,730,4847571,85706224,10000,50.3114,25.05,20.87,1.35,1.38,1.39,0.24,0.02,0.02
soc-LiveJournal1.egr,8,4847571,85706224,100,61.0355,25.36,32.19,0.45,1.3,1.53,0.17,0.02,0.02
soc-LiveJournal1.egr,9,4847571,85706224,100,58.8605,25.13,30.42,0.47,1.32,1.36,0.14,0.02,0.02
soc-LiveJournal1.egr,6,4847571,85706224,100,76.9453,27.92,45.46,0.66,1.31,1.41,0.15,0.02,0.02
soc-LiveJournal1.egr,11,4847571,85706224,100,61.8116,25.86,32.3,0.75,1.32,1.39,0.17,0.02,0.02
soc-LiveJournal1.egr,3,4847571,85706224,100,74.2648,26.04,44.94,0.36,1.31,1.42,0.15,0.02,0.02
soc-LiveJournal1.egr,81,4847571,85706224,1000,49.9805,25.36,19.25,0.99,1.34,2.8,0.19,0.02,0.02
soc-LiveJournal1.egr,83,4847571,85706224,1000,47.938,25.05,18.85,1.02,1.33,1.46,0.2,0.02,0.02
soc-LiveJournal1.egr,78,4847571,85706224,1000,49.758,25.41,20.19,1.0,1.33,1.6,0.19,0.02,0.02
soc-LiveJournal1.egr,66,4847571,85706224,1000,50.503,26.01,20.51,1.03,1.34,1.36,0.21,0.02,0.02
soc-LiveJournal1.egr,84,4847571,85706224,1000,48.2164,25.69,18.51,1.0,1.34,1.43,0.2,0.02,0.02
