filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
sx-stackoverflow.egr,6527,2601977,56414194,100000,25.7792,11.0,10.85,2.09,1.0,0.65,0.14,0.02,0.02
sx-stackoverflow.egr,6496,2601977,56414194,100000,37.3892,17.0,15.13,2.79,1.21,0.99,0.22,0.03,0.02
sx-stackoverflow.egr,6589,2601977,56414194,100000,24.8827,11.01,10.81,1.44,0.82,0.63,0.13,0.02,0.01
sx-stackoverflow.egr,6433,2601977,56414194,100000,25.3197,10.97,10.69,2.04,0.82,0.63,0.13,0.02,0.02
sx-stackoverflow.egr,6660,2601977,56414194,100000,24.7156,11.0,10.65,1.45,0.83,0.63,0.13,0.02,0.02
sx-stackoverflow.egr,611,2601977,56414194,10000,23.2675,11.01,9.6,1.09,0.81,0.6,0.1,0.02,0.02
sx-stackoverflow.egr,707,2601977,56414194,10000,23.1753,10.95,9.63,1.07,0.79,0.6,0.1,0.01,0.02
sx-stackoverflow.egr,614,2601977,56414194,10000,23.1434,10.94,9.62,1.07,0.78,0.6,0.1,0.02,0.02
sx-stackoverflow.egr,646,2601977,56414194,10000,24.2031,12.06,9.59,1.06,0.77,0.6,0.09,0.02,0.01
sx-stackoverflow.egr,630,2601977,56414194,10000,24.7126,12.18,9.53,1.48,0.8,0.6,0.1,0.02,0.02
sx-stackoverflow.egr,4,2601977,56414194,100,30.1343,10.94,17.42,0.34,0.77,0.58,0.06,0.01,0.01
sx-stackoverflow.egr,4,2601977,56414194,100,20.3802,11.02,7.5,0.39,0.79,0.58,0.06,0.02,0.03
sx-stackoverflow.egr,2,2601977,56414194,100,35.709,12.09,21.82,0.35,0.78,0.57,0.06,0.02,0.01
sx-stackoverflow.egr,9,2601977,56414194,100,32.8913,11.91,19.17,0.38,0.76,0.57,0.07,0.01,0.01
sx-stackoverflow.egr,8,2601977,56414194,100,38.6201,12.0,24.8,0.38,0.77,0.57,0.07,0.01,0.02
sx-stackoverflow.egr,76,2601977,56414194,1000,23.569,11.0,10.28,0.82,0.77,0.59,0.08,0.01,0.01
sx-stackoverflow.egr,67,2601977,56414194,1000,23.9636,10.94,10.42,1.12,0.78,0.59,0.08,0.01,0.01
sx-stackoverflow.egr,58,2601977,56414194,1000,39.5972,17.25,19.29,0.93,1.07,0.9,0.11,0.02,0.03
sx-stackoverflow.egr,63,2601977,56414194,1000,23.3797,10.96,10.12,0.79,0.78,0.58,0.09,0.02,0.03
sx-stackoverflow.egr,71,2601977,56414194,1000,25.0603,11.92,10.82,0.84,0.77,0.59,0.08,0.01,0.02
