filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Hash Table look up,Update rep array
uk-2002.egr,5941,18520486,523651232,100000,129.154,78.18,38.32,6.72,3.58,1.98,0.35,0.02,0.02
uk-2002.egr,5811,18520486,523651232,100000,124.355,82.81,30.13,5.13,3.81,2.07,0.37,0.02,0.02
uk-2002.egr,5908,18520486,523651232,100000,157.681,102.23,40.5,7.68,4.99,1.92,0.33,0.02,0.02
uk-2002.egr,5994,18520486,523651232,100000,158.512,103.27,40.89,6.55,4.99,2.44,0.33,0.02,0.02
uk-2002.egr,5968,18520486,523651232,100000,150.685,96.55,40.0,6.81,4.99,1.97,0.33,0.02,0.02
uk-2002.egr,603,18520486,523651232,10000,129.869,77.14,41.01,6.59,3.58,1.17,0.32,0.03,0.02
uk-2002.egr,575,18520486,523651232,10000,133.935,80.6,40.51,6.66,4.73,1.11,0.27,0.02,0.03
uk-2002.egr,652,18520486,523651232,10000,125.262,75.58,37.64,6.57,3.54,1.58,0.31,0.02,0.02
uk-2002.egr,556,18520486,523651232,10000,153.767,98.91,40.87,6.8,4.74,1.97,0.41,0.04,0.03
uk-2002.egr,570,18520486,523651232,10000,147.554,92.74,41.84,6.47,4.73,1.47,0.27,0.02,0.02
uk-2002.egr,5,18520486,523651232,100,147.329,93.01,42.37,6.63,4.67,0.4,0.21,0.02,0.02
uk-2002.egr,6,18520486,523651232,100,185.782,132.7,41.23,6.44,4.67,0.52,0.2,0.01,0.02
uk-2002.egr,4,18520486,523651232,100,111.789,63.8,36.74,6.54,4.15,0.37,0.17,0.02,0.02
uk-2002.egr,6,18520486,523651232,100,110.221,57.91,40.67,6.47,4.68,0.33,0.13,0.01,0.02
uk-2002.egr,5,18520486,523651232,100,175.518,122.69,41.02,6.57,4.67,0.33,0.2,0.01,0.02
uk-2002.egr,50,18520486,523651232,1000,164.728,111.11,41.22,6.48,4.67,0.9,0.32,0.02,0.02
uk-2002.egr,56,18520486,523651232,1000,148.027,101.68,34.63,6.51,3.82,1.11,0.25,0.02,0.02
uk-2002.egr,76,18520486,523651232,1000,148.431,95.47,40.73,6.5,4.67,0.8,0.23,0.02,0.02
uk-2002.egr,50,18520486,523651232,1000,151.521,98.14,41.1,6.61,4.68,0.73,0.23,0.01,0.02
uk-2002.egr,63,18520486,523651232,1000,130.247,79.9,39.27,6.63,3.43,0.76,0.24,0.01,0.02
