filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Update rep array,Hash Table look up
uk-2005.egr,4205,39459925,1566080060,100000,312.187,235.58,47.44,19.0,7.41,2.01,0.7,0.03,0.03
uk-2005.egr,4288,39459925,1566080060,100000,310.466,243.5,42.28,14.67,7.41,1.88,0.69,0.02,0.02
uk-2005.egr,4279,39459925,1566080060,100000,307.721,231.96,45.91,19.29,7.41,2.43,0.69,0.02,0.02
uk-2005.egr,4254,39459925,1566080060,100000,302.913,238.07,42.58,12.24,7.41,1.89,0.69,0.02,0.02
uk-2005.egr,4251,39459925,1566080060,100000,310.608,239.72,46.8,13.43,8.07,1.88,0.68,0.02,0.02
uk-2005.egr,453,39459925,1566080060,10000,329.141,252.82,51.85,14.62,8.27,0.98,0.57,0.02,0.02
uk-2005.egr,420,39459925,1566080060,10000,317.054,254.14,41.85,12.43,7.09,0.97,0.54,0.01,0.02
uk-2005.egr,446,39459925,1566080060,10000,326.323,247.98,50.25,19.07,7.08,1.37,0.53,0.01,0.02
uk-2005.egr,425,39459925,1566080060,10000,330.132,256.12,50.16,14.31,8.01,0.97,0.52,0.02,0.02
uk-2005.egr,426,39459925,1566080060,10000,324.421,256.04,45.9,12.98,7.5,1.4,0.56,0.02,0.02
uk-2005.egr,5,39459925,1566080060,100,245.196,165.87,52.87,18.8,7.04,0.34,0.24,0.01,0.01
uk-2005.egr,2,39459925,1566080060,100,238.267,165.23,46.37,19.05,7.04,0.31,0.24,0.01,0.01
uk-2005.egr,5,39459925,1566080060,100,391.342,310.65,53.62,19.09,7.04,0.55,0.36,0.01,0.01
uk-2005.egr,3,39459925,1566080060,100,347.034,275.71,44.44,19.0,7.04,0.45,0.36,0.02,0.01
uk-2005.egr,5,39459925,1566080060,100,371.34,296.94,47.3,19.1,7.04,0.55,0.39,0.02,0.01
uk-2005.egr,45,39459925,1566080060,1000,345.024,282.33,42.04,12.35,7.04,0.74,0.49,0.01,0.01
uk-2005.egr,40,39459925,1566080060,1000,349.26,286.32,42.19,12.17,7.04,1.05,0.46,0.01,0.01
uk-2005.egr,54,39459925,1566080060,1000,342.238,267.59,50.06,15.03,8.02,1.05,0.46,0.02,0.01
uk-2005.egr,44,39459925,1566080060,1000,328.648,263.74,44.04,12.53,7.04,0.78,0.47,0.02,0.02
uk-2005.egr,51,39459925,1566080060,1000,362.252,299.6,42.03,12.11,7.02,1.03,0.44,0.01,0.01
