filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
web-BerkStan.egr,9747,685230,13300290,100000,10.2705,3.75,3.28,2.57,0.34,0.25,0.04,0.01,0.01
web-BerkStan.egr,9584,685230,13300290,100000,11.4353,3.8,3.27,3.73,0.3,0.25,0.04,0.02,0.01
web-BerkStan.egr,9700,685230,13300290,100000,9.70817,3.65,2.88,2.58,0.3,0.24,0.04,0.01,0.01
web-BerkStan.egr,9621,685230,13300290,100000,9.86148,3.69,2.98,2.58,0.31,0.24,0.04,0.01,0.01
web-BerkStan.egr,9617,685230,13300290,100000,10.4966,3.71,2.97,3.21,0.3,0.24,0.04,0.02,0.01
web-BerkStan.egr,952,685230,13300290,10000,8.9667,3.8,3.1,1.48,0.28,0.24,0.04,0.01,0.01
web-BerkStan.egr,975,685230,13300290,10000,8.79864,3.64,3.1,1.48,0.29,0.24,0.04,0.01,0.01
web-BerkStan.egr,989,685230,13300290,10000,8.97315,3.76,3.15,1.49,0.28,0.24,0.04,0.01,0.01
web-BerkStan.egr,982,685230,13300290,10000,8.45557,3.7,3.12,1.05,0.28,0.24,0.04,0.01,0.01
web-BerkStan.egr,965,685230,13300290,10000,9.00466,3.72,3.22,1.47,0.28,0.24,0.04,0.01,0.01
web-BerkStan.egr,9,685230,13300290,100,7.11387,3.73,2.46,0.36,0.27,0.24,0.03,0.01,0.01
web-BerkStan.egr,12,685230,13300290,100,8.11632,3.76,3.41,0.37,0.28,0.24,0.03,0.01,0.01
web-BerkStan.egr,8,685230,13300290,100,8.31601,3.78,3.62,0.36,0.27,0.24,0.03,0.01,0.01
web-BerkStan.egr,11,685230,13300290,100,8.39303,3.69,3.53,0.58,0.29,0.25,0.03,0.01,0.01
web-BerkStan.egr,6,685230,13300290,100,7.24651,3.78,2.57,0.32,0.27,0.24,0.03,0.01,0.01
web-BerkStan.egr,111,685230,13300290,1000,8.7104,3.68,3.35,1.1,0.29,0.24,0.03,0.01,0.01
web-BerkStan.egr,102,685230,13300290,1000,8.43656,3.74,3.34,0.79,0.28,0.24,0.03,0.01,0.01
web-BerkStan.egr,90,685230,13300290,1000,8.85579,3.92,3.57,0.79,0.28,0.24,0.03,0.01,0.01
web-BerkStan.egr,90,685230,13300290,1000,8.38298,3.72,3.29,0.79,0.28,0.24,0.03,0.01,0.01
web-BerkStan.egr,94,685230,13300290,1000,8.75395,3.7,3.69,0.79,0.28,0.24,0.03,0.01,0.01
