filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
wiki-topcats.egr,7230,1791489,50888414,100000,20.5183,9.42,8.26,1.54,0.76,0.42,0.08,0.01,0.01
wiki-topcats.egr,7243,1791489,50888414,100000,21.0407,9.44,8.71,1.55,0.8,0.43,0.08,0.01,0.01
wiki-topcats.egr,7373,1791489,50888414,100000,21.3592,9.42,8.45,2.13,0.81,0.44,0.08,0.02,0.01
wiki-topcats.egr,7189,1791489,50888414,100000,21.2943,9.42,8.45,2.12,0.77,0.43,0.08,0.01,0.01
wiki-topcats.egr,7278,1791489,50888414,100000,21.9162,9.48,8.44,2.7,0.76,0.43,0.08,0.02,0.01
wiki-topcats.egr,722,1791489,50888414,10000,19.2829,8.55,8.45,1.03,0.74,0.42,0.07,0.02,0.01
wiki-topcats.egr,720,1791489,50888414,10000,19.3251,8.52,8.52,1.04,0.73,0.41,0.07,0.02,0.01
wiki-topcats.egr,697,1791489,50888414,10000,19.6986,8.55,8.47,1.45,0.72,0.41,0.07,0.02,0.01
wiki-topcats.egr,799,1791489,50888414,10000,19.259,8.55,8.43,1.05,0.72,0.42,0.07,0.02,0.01
wiki-topcats.egr,736,1791489,50888414,10000,19.3922,8.56,8.17,1.45,0.72,0.41,0.07,0.01,0.01
wiki-topcats.egr,8,1791489,50888414,100,27.5784,17.39,8.42,0.58,0.72,0.41,0.05,0.01,0.01
wiki-topcats.egr,6,1791489,50888414,100,30.7652,20.81,8.46,0.32,0.7,0.41,0.04,0.01,0.01
wiki-topcats.egr,5,1791489,50888414,100,27.1196,17.07,8.54,0.32,0.71,0.41,0.05,0.01,0.01
wiki-topcats.egr,9,1791489,50888414,100,25.113,15.15,8.37,0.37,0.72,0.41,0.06,0.01,0.01
wiki-topcats.egr,7,1791489,50888414,100,25.9402,15.96,8.3,0.5,0.71,0.39,0.05,0.01,0.01
wiki-topcats.egr,66,1791489,50888414,1000,20.0785,9.88,8.2,0.79,0.73,0.4,0.06,0.01,0.01
wiki-topcats.egr,77,1791489,50888414,1000,20.2049,9.68,8.53,0.79,0.72,0.4,0.06,0.01,0.01
wiki-topcats.egr,71,1791489,50888414,1000,20.1715,10.0,8.49,0.48,0.71,0.41,0.06,0.01,0.01
wiki-topcats.egr,58,1791489,50888414,1000,21.138,10.81,8.41,0.71,0.73,0.41,0.06,0.01,0.01
wiki-topcats.egr,66,1791489,50888414,1000,22.3917,11.93,8.45,0.79,0.74,0.41,0.06,0.01,0.01
