filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
kron_g500-logn18.egr,262144,21269364,100,1.4,10.74,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,1000,16.2,15.78,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,10000,169.2,8.45,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,100000,1659.4,9.29,kron_g500-logn18_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100,87.2,466.8,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,1000,868.2,463.22,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,10000,8663.6,514.18,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100000,86811.4,589.7,kmer_A2a_output_data_average.csv
germany_osm.egr,11548845,24738362,100,89.4,29.75,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,1000,859.4,31.18,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,10000,8623.2,33.54,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,100000,86194.2,34.98,germany_osm_output_data_average.csv
as-Skitter.egr,1696415,22192106,100,14.4,16.34,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,1000,113.2,13.99,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,10000,1149.4,13.82,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,100000,11641.0,14.86,as-Skitter_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100,2.0,28.26,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,1000,17.2,41.37,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,10000,196.4,31.38,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100000,1844.6,29.73,hollywood-2009_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100,68.8,82.81,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,1000,684.6,84.78,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,10000,6756.8,87.98,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100000,67990.2,91.25,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100,5.4,31.55,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,1000,67.0,27.11,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,10000,641.6,23.7,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100000,6541.0,27.62,sx-stackoverflow_output_data_average.csv
in-2004.egr,1382908,27183212,100,8.2,11.79,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,1000,76.4,13.89,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,10000,802.2,13.46,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,100000,7951.4,15.54,in-2004_output_data_average.csv
europe_osm.egr,50912018,108109320,100,80.8,116.91,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,1000,839.6,118.19,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,10000,8395.0,120.22,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,100000,83713.2,124.83,europe_osm_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100,11.8,52.34,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,1000,137.8,56.25,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,10000,1291.0,57.33,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100000,13001.8,62.19,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100,7.4,66.58,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,1000,78.4,49.28,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,10000,750.0,49.46,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100000,7579.4,53.44,soc-LiveJournal1_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100,1.6,97.38,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,1000,13.4,98.34,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,10000,135.2,61.66,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100000,1367.2,61.12,kron_g500-logn21_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100,7.8,69.3,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,1000,75.0,57.79,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,10000,774.0,52.35,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100000,7746.0,53.69,ljournal-2008_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100,3.8,12.71,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,1000,28.6,11.27,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,10000,252.2,10.84,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100000,2543.4,13.21,coPapersCiteseer_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100,11.6,97.16,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,1000,120.6,104.02,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,10000,1262.4,106.54,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100000,12566.8,106.0,rgg_n_2_24_s0_output_data_average.csv
com-Orkut.egr,3072441,234370166,100,3.8,144.43,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,1000,24.2,115.29,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,10000,252.8,75.93,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,100000,2502.8,78.35,com-Orkut_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100,3.6,208.86,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,1000,39.8,271.57,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,10000,337.0,249.09,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100000,3534.0,253.29,arabic-2005_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100,93.8,236.99,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,1000,919.0,229.7,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,10000,9172.4,245.08,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100000,91835.6,283.84,kmer_U1a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100,83.4,190.98,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,1000,824.6,188.9,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,10000,8277.4,213.32,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100000,82925.2,226.95,kmer_V2a_output_data_average.csv
GAP-road.egr,23947347,57708624,100,70.0,76.64,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,1000,706.8,73.62,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,10000,7075.2,75.8,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,100000,70779.6,79.64,GAP-road_output_data_average.csv
uk-2002.egr,18520486,523651232,100,5.2,146.13,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,1000,59.0,148.59,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,10000,591.2,138.08,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,100000,5924.4,144.08,uk-2002_output_data_average.csv
indochina-2004.egr,7414866,301970226,100,3.0,71.31,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,1000,36.2,82.22,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,10000,377.2,106.22,indochina-2004_output_data_average.csv
indochina-2004.egr,7414866,301970226,100000,3937.2,113.29,indochina-2004_output_data_average.csv
web-BerkStan.egr,685230,13300290,100,9.2,7.84,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,1000,97.4,8.63,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,10000,972.6,8.84,web-BerkStan_output_data_average.csv
web-BerkStan.egr,685230,13300290,100000,9653.8,10.35,web-BerkStan_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100,7.0,27.3,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,1000,67.6,20.8,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,10000,734.8,19.39,wiki-topcats_output_data_average.csv
wiki-topcats.egr,1791489,50888414,100000,7262.6,21.23,wiki-topcats_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100,1.4,20.9,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,1000,13.2,19.03,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,10000,141.0,13.51,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,524288,43791852,100000,1512.2,13.95,kron_g500-logn19_output_data_average.csv
higgs-twitter.egr,456626,25017136,100,3.8,15.29,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,1000,31.6,11.89,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,10000,358.8,11.73,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,100000,3422.0,11.82,higgs-twitter_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100,83.6,499.17,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,1000,850.6,504.57,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,10000,8585.0,567.62,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100000,85673.2,647.45,kmer_V1r_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100,2.0,14.12,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,1000,32.4,12.91,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,10000,335.2,11.89,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100000,3365.0,13.26,coPapersDBLP_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100,1.8,27.95,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,1000,15.4,31.26,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,10000,143.6,22.82,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100000,1455.0,23.08,kron_g500-logn20_output_data_average.csv
road_usa.egr,23947347,57708624,100,73.6,59.19,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,1000,714.2,59.47,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,10000,7103.6,76.41,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,100000,70664.0,75.44,road_usa_output_data_average.csv
eu-2005.egr,862664,32276936,100,5.2,13.06,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,1000,54.0,14.11,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,10000,511.2,14.12,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,100000,5113.2,14.02,eu-2005_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100,34.6,62.41,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,1000,353.4,64.63,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,10000,3575.8,67.91,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100000,35748.8,70.1,delaunay_n24_output_data_average.csv
uk-2005.egr,39459925,1566080060,100,4.0,318.64,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,1000,46.8,345.48,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,10000,434.0,325.41,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,100000,4255.4,308.78,uk-2005_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100,84.4,381.82,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,1000,867.2,391.15,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,10000,8699.2,410.32,kmer_P1a_output_data_average.csv
