filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
GAP-road.egr,9070,23947347,57708624,100000,85.0393,52.02,13.56,11.94,4.88,2.26,0.34,0.02,0.02
GAP-road.egr,8919,23947347,57708624,100000,50.7401,33.39,7.84,4.04,4.31,0.87,0.26,0.02,0.02
GAP-road.egr,8972,23947347,57708624,100000,50.8652,33.52,7.87,4.05,4.3,0.83,0.26,0.02,0.02
GAP-road.egr,8887,23947347,57708624,100000,54.8632,34.37,9.71,5.14,4.46,0.84,0.31,0.02,0.02
GAP-road.egr,8902,23947347,57708624,100000,73.1605,50.52,10.59,5.68,4.85,1.12,0.35,0.02,0.02
GAP-road.egr,909,23947347,57708624,10000,47.4544,33.32,7.69,3.91,1.51,0.8,0.19,0.02,0.02
GAP-road.egr,895,23947347,57708624,10000,50.8095,34.43,9.13,4.92,1.26,0.81,0.22,0.02,0.02
GAP-road.egr,900,23947347,57708624,10000,68.2066,50.08,9.99,5.44,1.33,1.07,0.25,0.02,0.02
GAP-road.egr,893,23947347,57708624,10000,47.4509,33.22,7.79,3.91,1.52,0.79,0.18,0.02,0.02
GAP-road.egr,884,23947347,57708624,10000,47.4154,33.78,7.66,3.9,1.08,0.79,0.18,0.02,0.01
GAP-road.egr,9,23947347,57708624,100,56.7392,40.43,9.46,5.38,0.45,0.76,0.22,0.02,0.02
GAP-road.egr,14,23947347,57708624,100,46.2475,33.54,7.51,3.87,0.38,0.76,0.16,0.02,0.02
GAP-road.egr,7,23947347,57708624,100,45.8273,33.19,7.47,3.87,0.34,0.78,0.15,0.01,0.01
GAP-road.egr,10,23947347,57708624,100,47.059,33.63,8.17,3.87,0.41,0.77,0.18,0.01,0.02
GAP-road.egr,12,23947347,57708624,100,66.9861,50.54,9.35,5.39,0.45,1.01,0.22,0.02,0.02
GAP-road.egr,67,23947347,57708624,1000,46.7859,33.53,7.86,3.87,0.53,0.79,0.17,0.01,0.01
GAP-road.egr,101,23947347,57708624,1000,66.9193,49.94,9.95,5.39,0.6,0.78,0.22,0.02,0.02
GAP-road.egr,86,23947347,57708624,1000,46.3528,33.34,7.7,3.88,0.49,0.77,0.16,0.01,0.01
GAP-road.egr,83,23947347,57708624,1000,46.7819,33.15,7.66,3.88,1.13,0.77,0.17,0.01,0.01
GAP-road.egr,84,23947347,57708624,1000,46.7208,33.6,7.74,3.88,0.53,0.78,0.17,0.01,0.02
