filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
as-Skitter.egr,6107,1696415,22192106,100000,12.7869,6.34,4.4,1.33,0.33,0.32,0.05,0.01,0.01
as-Skitter.egr,6321,1696415,22192106,100000,12.4062,6.22,4.17,1.33,0.32,0.3,0.04,0.01,0.01
as-Skitter.egr,6237,1696415,22192106,100000,12.1851,6.19,3.97,1.32,0.31,0.32,0.04,0.01,0.01
as-Skitter.egr,6179,1696415,22192106,100000,12.1671,6.24,3.91,1.33,0.31,0.3,0.05,0.02,0.01
as-Skitter.egr,6277,1696415,22192106,100000,12.5378,6.35,4.16,1.33,0.32,0.31,0.04,0.01,0.01
as-Skitter.egr,611,1696415,22192106,10000,11.1329,6.14,3.73,0.61,0.3,0.28,0.04,0.01,0.01
as-Skitter.egr,614,1696415,22192106,10000,11.189,6.22,3.71,0.61,0.31,0.28,0.04,0.01,0.01
as-Skitter.egr,610,1696415,22192106,10000,11.1257,6.16,3.71,0.61,0.3,0.28,0.04,0.01,0.01
as-Skitter.egr,614,1696415,22192106,10000,11.1801,6.2,3.72,0.61,0.31,0.28,0.04,0.01,0.01
as-Skitter.egr,628,1696415,22192106,10000,11.1691,6.17,3.74,0.62,0.31,0.27,0.04,0.01,0.01
as-Skitter.egr,11,1696415,22192106,100,10.845,6.23,3.64,0.35,0.3,0.27,0.04,0.01,0.01
as-Skitter.egr,6,1696415,22192106,100,10.8656,6.28,3.63,0.32,0.3,0.27,0.03,0.01,0.01
as-Skitter.egr,4,1696415,22192106,100,10.7143,6.16,3.62,0.32,0.3,0.26,0.03,0.01,0.01
as-Skitter.egr,3,1696415,22192106,100,10.9006,6.38,3.62,0.27,0.3,0.26,0.03,0.01,0.01
as-Skitter.egr,6,1696415,22192106,100,10.885,6.2,3.75,0.31,0.3,0.26,0.03,0.01,0.01
as-Skitter.egr,75,1696415,22192106,1000,10.985,6.14,3.74,0.48,0.3,0.26,0.04,0.01,0.01
as-Skitter.egr,56,1696415,22192106,1000,10.8645,6.15,3.64,0.44,0.31,0.27,0.04,0.01,0.01
as-Skitter.egr,66,1696415,22192106,1000,11.1097,6.25,3.74,0.48,0.3,0.27,0.04,0.01,0.01
as-Skitter.egr,68,1696415,22192106,1000,11.115,6.28,3.72,0.48,0.31,0.27,0.04,0.01,0.01
as-Skitter.egr,60,1696415,22192106,1000,10.957,6.22,3.67,0.44,0.3,0.27,0.04,0.01,0.01
