filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
coPapersCiteseer.egr,1474,434102,32073440,100000,9.69939,4.67,3.18,1.12,0.47,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,1519,434102,32073440,100000,9.27608,4.69,3.17,0.68,0.47,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,1538,434102,32073440,100000,10.1502,5.04,3.25,1.13,0.47,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,1493,434102,32073440,100000,9.8761,4.72,3.29,1.13,0.48,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,1489,434102,32073440,100000,9.26797,4.66,3.19,0.67,0.47,0.22,0.03,0.01,0.01
coPapersCiteseer.egr,171,434102,32073440,10000,9.03228,4.67,3.17,0.52,0.42,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,147,434102,32073440,10000,9.08224,4.69,3.19,0.52,0.43,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,155,434102,32073440,10000,8.97103,4.66,3.11,0.52,0.44,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,175,434102,32073440,10000,8.97561,4.66,3.09,0.52,0.45,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,155,434102,32073440,10000,9.02553,4.66,3.16,0.51,0.43,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,1,434102,32073440,100,8.52021,4.47,3.15,0.24,0.41,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,1,434102,32073440,100,8.54178,4.46,3.18,0.24,0.41,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,1,434102,32073440,100,8.53311,4.46,3.16,0.24,0.42,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,1,434102,32073440,100,8.47561,4.45,3.12,0.24,0.41,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,2,434102,32073440,100,8.55769,4.47,3.14,0.28,0.41,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,23,434102,32073440,1000,8.75607,4.57,3.11,0.4,0.43,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,17,434102,32073440,1000,8.79581,4.55,3.17,0.39,0.41,0.21,0.03,0.01,0.01
coPapersCiteseer.egr,15,434102,32073440,1000,8.68969,4.54,3.12,0.35,0.42,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,16,434102,32073440,1000,8.73843,4.47,3.18,0.4,0.44,0.2,0.03,0.01,0.01
coPapersCiteseer.egr,16,434102,32073440,1000,8.73453,4.47,3.19,0.4,0.42,0.2,0.03,0.01,0.01
