filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
coPapersDBLP.egr,2284,540486,30491458,100000,9.53814,4.5,3.54,0.74,0.47,0.22,0.03,0.02,0.01
coPapersDBLP.egr,2263,540486,30491458,100000,10.1199,4.52,3.59,1.23,0.49,0.23,0.03,0.01,0.01
coPapersDBLP.egr,2288,540486,30491458,100000,10.04,4.48,3.58,1.23,0.48,0.23,0.04,0.01,0.01
coPapersDBLP.egr,2230,540486,30491458,100000,10.1932,4.68,3.53,1.23,0.48,0.22,0.03,0.02,0.01
coPapersDBLP.egr,2247,540486,30491458,100000,9.96246,4.5,3.47,1.23,0.47,0.23,0.04,0.01,0.01
coPapersDBLP.egr,220,540486,30491458,10000,9.1907,4.45,3.51,0.52,0.43,0.23,0.03,0.01,0.01
coPapersDBLP.egr,222,540486,30491458,10000,9.24379,4.47,3.53,0.52,0.44,0.23,0.03,0.01,0.01
coPapersDBLP.egr,227,540486,30491458,10000,9.27227,4.48,3.54,0.52,0.46,0.22,0.03,0.01,0.01
coPapersDBLP.egr,232,540486,30491458,10000,9.27942,4.45,3.58,0.52,0.45,0.22,0.03,0.01,0.01
coPapersDBLP.egr,203,540486,30491458,10000,9.28138,4.5,3.55,0.52,0.44,0.22,0.03,0.01,0.01
coPapersDBLP.egr,1,540486,30491458,100,8.7042,4.28,3.49,0.23,0.43,0.22,0.03,0.01,0.02
coPapersDBLP.egr,0,540486,30491458,100,8.35955,4.21,3.49,,0.42,0.22,,,0.01
coPapersDBLP.egr,3,540486,30491458,100,8.80387,4.35,3.48,0.28,0.43,0.22,0.03,0.01,0.01
coPapersDBLP.egr,0,540486,30491458,100,8.43238,4.17,3.61,,0.42,0.22,,,0.01
coPapersDBLP.egr,5,540486,30491458,100,8.7623,4.27,3.47,0.32,0.43,0.22,0.03,0.01,0.01
coPapersDBLP.egr,20,540486,30491458,1000,8.97852,4.34,3.53,0.4,0.44,0.22,0.03,0.01,0.01
coPapersDBLP.egr,17,540486,30491458,1000,9.01801,4.33,3.56,0.39,0.47,0.22,0.03,0.01,0.01
coPapersDBLP.egr,21,540486,30491458,1000,8.89922,4.39,3.41,0.39,0.44,0.21,0.03,0.01,0.01
coPapersDBLP.egr,25,540486,30491458,1000,9.0051,4.36,3.54,0.39,0.44,0.22,0.03,0.01,0.01
coPapersDBLP.egr,21,540486,30491458,1000,8.90489,4.27,3.53,0.4,0.44,0.22,0.03,0.01,0.01
