filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
com-Orkut.egr,2017,3072441,234370166,100000,56.157,35.67,15.65,3.22,0.86,0.65,0.07,0.02,0.02
com-Orkut.egr,2016,3072441,234370166,100000,40.5945,27.49,9.73,2.17,0.69,0.44,0.05,0.02,0.01
com-Orkut.egr,2127,3072441,234370166,100000,57.3782,36.9,15.58,3.19,0.93,0.65,0.07,0.02,0.02
com-Orkut.egr,1967,3072441,234370166,100000,41.6616,28.76,9.54,2.14,0.69,0.45,0.05,0.02,0.01
com-Orkut.egr,1974,3072441,234370166,100000,55.5522,35.59,15.18,3.16,0.87,0.65,0.07,0.02,0.02
com-Orkut.egr,222,3072441,234370166,10000,55.6921,35.15,15.97,3.2,0.64,0.63,0.06,0.02,0.02
com-Orkut.egr,196,3072441,234370166,10000,40.0666,27.31,9.61,2.1,0.54,0.43,0.05,0.01,0.01
com-Orkut.egr,206,3072441,234370166,10000,55.2351,35.5,15.36,2.99,0.64,0.64,0.06,0.02,0.02
com-Orkut.egr,204,3072441,234370166,10000,59.2742,35.13,17.48,3.93,0.67,1.96,0.07,0.02,0.02
com-Orkut.egr,188,3072441,234370166,10000,54.8835,35.28,15.24,2.99,0.64,0.63,0.06,0.02,0.02
com-Orkut.egr,0,3072441,234370166,100,48.2733,29.47,15.22,2.94,,0.63,,,0.02
com-Orkut.egr,0,3072441,234370166,100,48.7207,29.52,15.57,2.99,,0.63,,,0.02
com-Orkut.egr,5,3072441,234370166,100,50.3761,31.12,15.19,2.95,0.39,0.63,0.06,0.02,0.02
com-Orkut.egr,6,3072441,234370166,100,52.1078,32.57,15.38,3.05,0.39,0.63,0.06,0.02,0.02
com-Orkut.egr,2,3072441,234370166,100,52.4629,32.77,15.47,3.15,0.34,0.63,0.06,0.02,0.02
com-Orkut.egr,18,3072441,234370166,1000,52.6765,32.88,15.59,3.0,0.49,0.63,0.06,0.02,0.01
com-Orkut.egr,20,3072441,234370166,1000,52.829,33.4,15.16,3.03,0.51,0.63,0.06,0.02,0.02
com-Orkut.egr,18,3072441,234370166,1000,52.2486,32.97,15.01,3.07,0.48,0.62,0.06,0.02,0.01
com-Orkut.egr,19,3072441,234370166,1000,52.4323,33.3,14.95,2.98,0.48,0.62,0.06,0.02,0.02
com-Orkut.egr,22,3072441,234370166,1000,53.5138,33.53,15.77,3.0,0.49,0.63,0.06,0.02,0.02
