filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
delaunay_n24.egr,19597,16777216,100663202,100000,50.135,26.43,14.82,3.85,3.59,1.15,0.25,0.02,0.02
delaunay_n24.egr,19437,16777216,100663202,100000,49.1805,28.79,12.62,3.36,3.01,1.16,0.21,0.02,0.02
delaunay_n24.egr,19783,16777216,100663202,100000,49.5811,25.86,12.61,3.35,6.34,1.18,0.21,0.02,0.02
delaunay_n24.egr,19357,16777216,100663202,100000,68.1759,40.28,17.15,4.31,4.12,1.97,0.3,0.02,0.02
delaunay_n24.egr,19552,16777216,100663202,100000,50.7286,26.58,14.58,4.56,3.55,1.17,0.25,0.02,0.02
delaunay_n24.egr,1946,16777216,100663202,10000,46.7818,25.83,15.66,1.15,2.88,1.11,0.14,0.02,0.02
delaunay_n24.egr,1934,16777216,100663202,10000,43.8804,26.28,12.29,1.16,2.87,1.11,0.14,0.01,0.02
delaunay_n24.egr,1892,16777216,100663202,10000,44.7986,26.06,12.77,1.79,2.88,1.12,0.16,0.02,0.02
delaunay_n24.egr,1987,16777216,100663202,10000,64.5863,40.84,15.99,2.08,3.92,1.53,0.19,0.02,0.02
delaunay_n24.egr,2000,16777216,100663202,10000,45.0074,26.31,12.23,1.16,2.88,2.25,0.14,0.02,0.02
delaunay_n24.egr,18,16777216,100663202,100,42.1776,25.66,12.01,0.42,2.85,1.08,0.12,0.02,0.01
delaunay_n24.egr,24,16777216,100663202,100,64.3038,39.7,15.12,0.51,7.29,1.48,0.16,0.02,0.02
delaunay_n24.egr,24,16777216,100663202,100,42.5936,26.08,11.99,0.42,2.85,1.1,0.12,0.01,0.02
delaunay_n24.egr,18,16777216,100663202,100,42.8417,26.28,12.03,0.43,2.85,1.09,0.12,0.02,0.01
delaunay_n24.egr,23,16777216,100663202,100,61.2417,40.04,15.15,0.5,3.87,1.48,0.17,0.02,0.02
delaunay_n24.egr,181,16777216,100663202,1000,43.4151,26.51,12.28,0.54,2.85,1.09,0.12,0.02,0.01
delaunay_n24.egr,201,16777216,100663202,1000,43.1439,25.92,12.23,0.89,2.86,1.1,0.12,0.01,0.01
delaunay_n24.egr,207,16777216,100663202,1000,46.3406,26.9,13.83,0.99,3.34,1.11,0.14,0.02,0.02
delaunay_n24.egr,189,16777216,100663202,1000,62.0903,39.98,15.88,0.65,3.87,1.5,0.17,0.02,0.02
delaunay_n24.egr,216,16777216,100663202,1000,42.8424,25.57,12.26,0.88,2.85,1.13,0.12,0.02,0.02
