filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
eu-2005.egr,1851,862664,32276936,100000,10.4963,4.66,4.37,0.68,0.49,0.24,0.03,0.01,0.01
eu-2005.egr,1801,862664,32276936,100000,12.7787,6.54,4.33,1.12,0.49,0.24,0.04,0.01,0.01
eu-2005.egr,1811,862664,32276936,100000,10.4941,4.61,4.41,0.68,0.49,0.24,0.03,0.01,0.01
eu-2005.egr,1843,862664,32276936,100000,10.4705,4.67,4.34,0.68,0.49,0.24,0.04,0.02,0.01
eu-2005.egr,1854,862664,32276936,100000,11.6961,5.86,4.33,0.68,0.53,0.24,0.03,0.01,0.01
eu-2005.egr,163,862664,32276936,10000,10.1492,4.57,4.31,0.52,0.45,0.24,0.03,0.01,0.01
eu-2005.egr,197,862664,32276936,10000,10.1657,4.61,4.29,0.52,0.45,0.25,0.03,0.01,0.01
eu-2005.egr,192,862664,32276936,10000,10.2812,4.66,4.35,0.52,0.44,0.24,0.03,0.01,0.01
eu-2005.egr,185,862664,32276936,10000,10.1366,4.58,4.28,0.52,0.46,0.25,0.03,0.01,0.01
eu-2005.egr,183,862664,32276936,10000,10.1612,4.56,4.33,0.52,0.47,0.24,0.03,0.01,0.01
eu-2005.egr,4,862664,32276936,100,9.90161,4.56,4.31,0.32,0.43,0.24,0.03,0.01,0.01
eu-2005.egr,4,862664,32276936,100,9.74873,4.39,4.3,0.31,0.45,0.24,0.03,0.01,0.01
eu-2005.egr,0,862664,32276936,100,9.31379,4.31,4.32,,0.43,0.24,,,0.01
eu-2005.egr,1,862664,32276936,100,9.73356,4.39,4.37,0.23,0.44,0.24,0.03,0.01,0.01
eu-2005.egr,1,862664,32276936,100,9.7268,4.42,4.33,0.24,0.44,0.24,0.03,0.01,0.01
eu-2005.egr,17,862664,32276936,1000,9.85287,4.42,4.3,0.4,0.45,0.24,0.03,0.01,0.01
eu-2005.egr,19,862664,32276936,1000,9.8682,4.39,4.33,0.4,0.45,0.24,0.03,0.01,0.01
eu-2005.egr,18,862664,32276936,1000,9.86566,4.38,4.34,0.4,0.45,0.25,0.03,0.01,0.01
eu-2005.egr,17,862664,32276936,1000,9.8663,4.4,4.32,0.4,0.45,0.24,0.03,0.01,0.01
eu-2005.egr,21,862664,32276936,1000,10.9014,5.41,4.35,0.4,0.45,0.24,0.03,0.01,0.01
