filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Hash Table look up,Update rep array
europe_osm.egr,16545,50912018,108109320,100000,115.828,76.51,18.71,13.62,4.33,1.7,0.92,0.02,0.02
europe_osm.egr,16373,50912018,108109320,100000,110.169,76.96,14.49,12.4,3.87,1.76,0.65,0.02,0.02
europe_osm.egr,16251,50912018,108109320,100000,116.137,77.06,18.69,13.61,4.09,1.7,0.94,0.02,0.02
europe_osm.egr,16136,50912018,108109320,100000,108.714,76.5,14.61,12.47,2.72,1.71,0.67,0.02,0.02
europe_osm.egr,16498,50912018,108109320,100000,115.612,76.24,18.68,13.6,4.37,1.77,0.91,0.02,0.02
europe_osm.egr,1666,50912018,108109320,10000,101.278,72.34,14.82,10.69,1.3,1.6,0.5,0.02,0.02
europe_osm.egr,1633,50912018,108109320,10000,111.686,77.44,17.3,12.76,2.03,1.58,0.52,0.02,0.02
europe_osm.egr,1621,50912018,108109320,10000,111.412,77.02,17.3,12.76,2.03,1.7,0.57,0.02,0.02
europe_osm.egr,1615,50912018,108109320,10000,103.861,75.83,13.93,9.87,2.17,1.57,0.46,0.02,0.02
europe_osm.egr,1594,50912018,108109320,10000,110.87,77.02,17.33,12.75,1.53,1.62,0.58,0.02,0.02
europe_osm.egr,10,50912018,108109320,100,102.227,76.41,13.64,9.85,0.38,1.58,0.33,0.01,0.02
europe_osm.egr,14,50912018,108109320,100,108.093,76.7,16.37,12.53,0.44,1.6,0.42,0.02,0.02
europe_osm.egr,23,50912018,108109320,100,109.297,77.63,16.62,12.54,0.49,1.56,0.43,0.02,0.02
europe_osm.egr,21,50912018,108109320,100,101.698,75.23,14.02,10.08,0.44,1.56,0.34,0.02,0.02
europe_osm.egr,17,50912018,108109320,100,108.647,77.0,16.56,12.53,0.49,1.62,0.42,0.02,0.02
europe_osm.egr,182,50912018,108109320,1000,110.239,77.68,17.46,12.57,0.54,1.64,0.32,0.02,0.02
europe_osm.egr,173,50912018,108109320,1000,111.196,76.91,17.42,14.17,0.64,1.58,0.44,0.02,0.02
europe_osm.egr,150,50912018,108109320,1000,108.873,76.17,17.46,12.55,0.65,1.58,0.43,0.02,0.02
europe_osm.egr,159,50912018,108109320,1000,110.245,77.59,17.37,12.56,0.66,1.6,0.43,0.02,0.02
europe_osm.egr,148,50912018,108109320,1000,107.167,77.82,13.96,12.56,0.91,1.57,0.32,0.01,0.02
