filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
germany_osm.egr,31169,11548845,24738362,100000,31.7267,20.69,4.15,4.0,2.26,0.35,0.24,0.01,0.01
germany_osm.egr,31282,11548845,24738362,100000,32.8473,20.6,4.17,5.2,2.26,0.35,0.24,0.01,0.01
germany_osm.egr,30781,11548845,24738362,100000,32.5545,20.91,4.19,4.57,2.26,0.35,0.24,0.01,0.01
germany_osm.egr,31121,11548845,24738362,100000,32.1346,20.52,4.14,4.59,2.26,0.35,0.24,0.01,0.01
germany_osm.egr,31390,11548845,24738362,100000,31.9433,20.91,4.17,3.98,2.27,0.34,0.24,0.01,0.01
germany_osm.egr,3129,11548845,24738362,10000,29.1602,20.7,4.08,1.75,2.13,0.31,0.16,0.01,0.01
germany_osm.egr,3134,11548845,24738362,10000,30.4841,20.45,5.67,1.75,2.13,0.31,0.15,0.01,0.01
germany_osm.egr,3012,11548845,24738362,10000,29.4319,20.49,4.09,2.23,2.13,0.31,0.15,0.01,0.01
germany_osm.egr,3144,11548845,24738362,10000,29.133,20.67,4.09,1.75,2.13,0.32,0.15,0.01,0.01
germany_osm.egr,3139,11548845,24738362,10000,29.6219,20.65,4.08,2.27,2.14,0.31,0.15,0.01,0.01
germany_osm.egr,30,11548845,24738362,100,27.5794,20.77,3.97,0.4,2.04,0.29,0.09,0.01,0.01
germany_osm.egr,30,11548845,24738362,100,27.361,20.53,3.99,0.4,2.04,0.29,0.09,0.01,0.01
germany_osm.egr,32,11548845,24738362,100,27.4112,20.54,3.99,0.44,2.04,0.29,0.09,0.01,0.01
germany_osm.egr,35,11548845,24738362,100,27.4703,20.55,4.03,0.44,2.04,0.3,0.09,0.01,0.01
germany_osm.egr,29,11548845,24738362,100,27.3671,20.57,3.97,0.4,2.04,0.28,0.09,0.01,0.01
germany_osm.egr,305,11548845,24738362,1000,27.9391,20.46,4.05,0.94,2.06,0.31,0.1,0.01,0.01
germany_osm.egr,309,11548845,24738362,1000,28.1492,20.65,4.07,0.95,2.05,0.3,0.1,0.02,0.01
germany_osm.egr,305,11548845,24738362,1000,27.9708,20.5,4.03,0.94,2.06,0.31,0.1,0.01,0.01
germany_osm.egr,345,11548845,24738362,1000,28.1842,20.71,4.05,0.94,2.05,0.3,0.1,0.01,0.01
germany_osm.egr,298,11548845,24738362,1000,28.2658,20.8,4.05,0.94,2.05,0.3,0.09,0.01,0.01
