filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
higgs-twitter.egr,2542,456626,25017136,100000,8.88588,4.06,3.37,0.73,0.46,0.21,0.03,0.01,0.01
higgs-twitter.egr,2630,456626,25017136,100000,9.2176,4.49,3.27,0.73,0.46,0.21,0.03,0.02,0.01
higgs-twitter.egr,2584,456626,25017136,100000,8.85743,4.09,3.31,0.73,0.45,0.21,0.03,0.01,0.01
higgs-twitter.egr,2683,456626,25017136,100000,8.69418,4.0,3.26,0.72,0.45,0.22,0.03,0.01,0.01
higgs-twitter.egr,2637,456626,25017136,100000,8.79217,4.01,3.33,0.74,0.45,0.21,0.03,0.02,0.01
higgs-twitter.egr,265,456626,25017136,10000,8.47563,3.94,3.3,0.56,0.42,0.21,0.03,0.01,0.01
higgs-twitter.egr,282,456626,25017136,10000,8.57536,3.92,3.39,0.54,0.46,0.2,0.03,0.01,0.01
higgs-twitter.egr,246,456626,25017136,10000,8.37853,3.93,3.25,0.52,0.42,0.2,0.03,0.01,0.01
higgs-twitter.egr,259,456626,25017136,10000,8.48856,4.01,3.24,0.56,0.42,0.21,0.03,0.01,0.01
higgs-twitter.egr,228,456626,25017136,10000,8.40293,3.94,3.27,0.52,0.41,0.2,0.03,0.01,0.01
higgs-twitter.egr,0,456626,25017136,100,7.61321,3.72,3.29,,0.39,0.21,,,0.01
higgs-twitter.egr,4,456626,25017136,100,8.10173,3.85,3.28,0.32,0.4,0.21,0.03,0.01,0.01
higgs-twitter.egr,3,456626,25017136,100,8.03535,3.83,3.28,0.27,0.4,0.2,0.03,0.01,0.01
higgs-twitter.egr,3,456626,25017136,100,11.8775,7.66,3.29,0.28,0.4,0.2,0.03,0.01,0.01
higgs-twitter.egr,3,456626,25017136,100,8.02551,3.81,3.31,0.25,0.4,0.21,0.03,0.01,0.01
higgs-twitter.egr,27,456626,25017136,1000,8.11405,3.79,3.25,0.4,0.42,0.2,0.03,0.01,0.01
higgs-twitter.egr,21,456626,25017136,1000,8.17652,3.81,3.3,0.4,0.41,0.21,0.03,0.01,0.01
higgs-twitter.egr,16,456626,25017136,1000,8.22912,3.88,3.29,0.4,0.4,0.21,0.03,0.01,0.01
higgs-twitter.egr,26,456626,25017136,1000,8.10264,3.79,3.29,0.37,0.41,0.2,0.03,0.01,0.01
higgs-twitter.egr,25,456626,25017136,1000,8.23319,3.78,3.39,0.4,0.41,0.2,0.03,0.01,0.01
