filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
hollywood-2009.egr,1518,1139905,112840436,100000,21.1,13.68,5.15,1.24,0.67,0.29,0.04,0.02,0.01
hollywood-2009.egr,1431,1139905,112840436,100000,21.1203,13.63,5.22,1.23,0.68,0.29,0.04,0.02,0.01
hollywood-2009.egr,1470,1139905,112840436,100000,21.0939,13.64,5.12,1.3,0.68,0.29,0.04,0.01,0.01
hollywood-2009.egr,1443,1139905,112840436,100000,20.9694,13.69,5.0,1.23,0.69,0.29,0.04,0.02,0.01
hollywood-2009.egr,1445,1139905,112840436,100000,21.4062,14.01,5.11,1.24,0.69,0.3,0.04,0.02,0.01
hollywood-2009.egr,133,1139905,112840436,10000,20.9455,13.61,5.27,1.2,0.53,0.29,0.03,0.01,0.01
hollywood-2009.egr,153,1139905,112840436,10000,20.6876,13.58,5.08,1.16,0.53,0.29,0.03,0.01,0.01
hollywood-2009.egr,157,1139905,112840436,10000,20.6526,13.56,5.06,1.16,0.53,0.29,0.03,0.01,0.01
hollywood-2009.egr,139,1139905,112840436,10000,20.7355,13.6,5.07,1.19,0.53,0.28,0.04,0.01,0.01
hollywood-2009.egr,147,1139905,112840436,10000,20.8433,13.57,5.23,1.17,0.53,0.29,0.03,0.01,0.01
hollywood-2009.egr,1,1139905,112840436,100,19.7828,12.99,5.06,1.16,0.23,0.28,0.03,0.01,0.01
hollywood-2009.egr,4,1139905,112840436,100,20.3603,13.27,5.25,1.18,0.32,0.29,0.03,0.01,0.01
hollywood-2009.egr,2,1139905,112840436,100,19.8391,12.99,5.09,1.14,0.28,0.28,0.03,0.01,0.01
hollywood-2009.egr,1,1139905,112840436,100,20.0136,12.99,5.23,1.21,0.24,0.29,0.03,0.01,0.01
hollywood-2009.egr,0,1139905,112840436,100,19.2675,12.75,5.06,1.17,,0.28,,,0.01
hollywood-2009.egr,17,1139905,112840436,1000,20.4202,13.29,5.18,1.19,0.41,0.28,0.03,0.01,0.01
hollywood-2009.egr,15,1139905,112840436,1000,20.3496,13.23,5.18,1.23,0.36,0.29,0.03,0.01,0.01
hollywood-2009.egr,25,1139905,112840436,1000,19.9968,12.99,5.0,1.26,0.41,0.29,0.03,0.01,0.01
hollywood-2009.egr,17,1139905,112840436,1000,19.9548,13.0,5.03,1.18,0.41,0.28,0.03,0.01,0.01
hollywood-2009.egr,15,1139905,112840436,1000,20.0716,13.05,5.16,1.16,0.37,0.28,0.03,0.01,0.01
