filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
hugebubbles-00020.egr,29786,21198119,63580358,100000,90.365,63.31,11.91,7.21,5.99,1.24,0.66,0.02,0.02
hugebubbles-00020.egr,29815,21198119,63580358,100000,89.0433,62.8,11.98,7.21,5.18,1.18,0.66,0.02,0.02
hugebubbles-00020.egr,29787,21198119,63580358,100000,87.751,61.44,12.02,7.19,5.16,1.24,0.66,0.02,0.02
hugebubbles-00020.egr,29749,21198119,63580358,100000,89.0724,62.83,11.93,7.19,5.24,1.18,0.66,0.02,0.02
hugebubbles-00020.egr,29891,21198119,63580358,100000,92.0177,61.43,11.93,10.01,6.75,1.2,0.66,0.02,0.02
hugebubbles-00020.egr,2929,21198119,63580358,10000,82.9522,61.24,11.32,6.73,2.15,1.1,0.37,0.02,0.02
hugebubbles-00020.egr,2948,21198119,63580358,10000,86.2049,64.35,11.29,6.72,2.22,1.15,0.44,0.02,0.02
hugebubbles-00020.egr,2957,21198119,63580358,10000,83.1987,61.21,11.42,6.73,2.24,1.13,0.43,0.02,0.02
hugebubbles-00020.egr,2950,21198119,63580358,10000,84.6112,62.71,11.31,6.74,2.22,1.13,0.46,0.02,0.02
hugebubbles-00020.egr,2979,21198119,63580358,10000,83.0499,61.14,11.39,6.73,2.22,1.09,0.44,0.02,0.02
hugebubbles-00020.egr,28,21198119,63580358,100,81.4388,62.81,10.58,6.25,0.49,1.07,0.2,0.02,0.02
hugebubbles-00020.egr,30,21198119,63580358,100,80.9084,62.24,10.59,6.25,0.5,1.09,0.2,0.02,0.02
hugebubbles-00020.egr,33,21198119,63580358,100,80.5317,61.81,10.57,6.25,0.55,1.11,0.2,0.02,0.02
hugebubbles-00020.egr,34,21198119,63580358,100,82.1121,62.67,10.67,6.25,0.87,1.4,0.22,0.02,0.02
hugebubbles-00020.egr,30,21198119,63580358,100,79.6806,60.96,10.64,6.25,0.5,1.08,0.21,0.02,0.02
hugebubbles-00020.egr,272,21198119,63580358,1000,99.145,64.49,19.01,13.13,1.12,1.12,0.24,0.02,0.02
hugebubbles-00020.egr,285,21198119,63580358,1000,81.847,61.79,11.09,6.34,1.19,1.12,0.27,0.02,0.02
hugebubbles-00020.egr,295,21198119,63580358,1000,81.4234,61.34,11.1,6.37,1.19,1.1,0.27,0.02,0.02
hugebubbles-00020.egr,304,21198119,63580358,1000,82.0434,63.43,10.22,5.9,1.12,1.09,0.25,0.02,0.02
hugebubbles-00020.egr,317,21198119,63580358,1000,80.7267,61.18,11.08,6.34,0.69,1.11,0.28,0.02,0.02
