filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
in-2004.egr,686,1382908,27183212,100000,11.4658,5.46,4.24,1.06,0.36,0.29,0.04,0.01,0.01
in-2004.egr,742,1382908,27183212,100000,11.4404,5.45,4.23,1.05,0.36,0.29,0.04,0.01,0.01
in-2004.egr,679,1382908,27183212,100000,11.6337,5.69,4.21,1.03,0.35,0.29,0.04,0.01,0.01
in-2004.egr,711,1382908,27183212,100000,11.0316,5.46,4.25,0.62,0.35,0.29,0.04,0.01,0.01
in-2004.egr,687,1382908,27183212,100000,11.36,5.42,4.22,1.03,0.35,0.28,0.04,0.01,0.01
in-2004.egr,73,1382908,27183212,10000,10.9845,5.62,4.22,0.48,0.32,0.28,0.03,0.01,0.01
in-2004.egr,74,1382908,27183212,10000,10.9614,5.61,4.23,0.48,0.31,0.28,0.03,0.01,0.01
in-2004.egr,79,1382908,27183212,10000,10.9278,5.56,4.24,0.47,0.33,0.28,0.03,0.01,0.01
in-2004.egr,79,1382908,27183212,10000,10.9346,5.56,4.24,0.48,0.31,0.29,0.03,0.01,0.01
in-2004.egr,72,1382908,27183212,10000,10.8116,5.44,4.23,0.47,0.32,0.29,0.03,0.01,0.01
in-2004.egr,1,1382908,27183212,100,10.4126,5.48,4.06,0.24,0.3,0.28,0.03,0.01,0.01
in-2004.egr,0,1382908,27183212,100,10.0497,5.47,3.98,,0.29,0.29,,,0.01
in-2004.egr,2,1382908,27183212,100,10.5475,5.56,4.07,0.28,0.3,0.29,0.03,0.01,0.01
in-2004.egr,5,1382908,27183212,100,10.5917,5.55,4.07,0.32,0.3,0.29,0.03,0.01,0.01
in-2004.egr,1,1382908,27183212,100,10.4546,5.49,4.1,0.23,0.3,0.28,0.03,0.01,0.01
in-2004.egr,7,1382908,27183212,1000,10.5526,5.43,4.17,0.31,0.31,0.28,0.03,0.01,0.01
in-2004.egr,6,1382908,27183212,1000,10.4746,5.46,4.05,0.32,0.31,0.28,0.03,0.01,0.01
in-2004.egr,9,1382908,27183212,1000,10.5766,5.43,4.13,0.36,0.31,0.29,0.03,0.01,0.01
in-2004.egr,3,1382908,27183212,1000,10.5226,5.49,4.11,0.27,0.3,0.28,0.03,0.01,0.01
in-2004.egr,5,1382908,27183212,1000,10.7374,5.69,4.08,0.32,0.31,0.28,0.03,0.01,0.01
