filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,update data structure,PR-RST module,Path Reversal,Update rep array,Hash Table look up
kmer_A2a.egr,61928,170728175,360595876,100000,422.962,314.15,55.2,43.55,4.61,2.93,2.49,0.02,0.02
kmer_A2a.egr,61719,170728175,360595876,100000,405.834,296.8,55.2,43.67,4.75,2.92,2.46,0.02,0.02
kmer_A2a.egr,61698,170728175,360595876,100000,421.773,313.68,55.18,43.56,4.59,2.26,2.46,0.02,0.02
kmer_A2a.egr,61651,170728175,360595876,100000,427.999,319.43,55.19,43.85,4.57,2.25,2.66,0.02,0.02
kmer_A2a.egr,61749,170728175,360595876,100000,409.161,301.03,55.17,43.59,4.59,2.27,2.46,0.02,0.02
kmer_A2a.egr,6085,170728175,360595876,10000,418.94,316.48,51.34,43.9,4.37,1.33,1.48,0.02,0.02
kmer_A2a.egr,6182,170728175,360595876,10000,405.551,302.25,51.51,43.98,4.43,1.87,1.47,0.02,0.02
kmer_A2a.egr,6151,170728175,360595876,10000,413.722,311.31,51.29,43.79,4.4,1.34,1.56,0.02,0.02
kmer_A2a.egr,6152,170728175,360595876,10000,403.473,300.82,51.36,43.9,4.55,1.34,1.46,0.02,0.02
kmer_A2a.egr,6177,170728175,360595876,10000,410.051,306.36,51.41,45.03,4.48,1.33,1.4,0.02,0.02
kmer_A2a.egr,62,170728175,360595876,100,395.586,297.58,49.99,42.13,4.48,0.45,0.93,0.01,0.01
kmer_A2a.egr,58,170728175,360595876,100,402.414,304.39,50.01,42.17,4.42,0.46,0.93,0.02,0.02
kmer_A2a.egr,63,170728175,360595876,100,396.281,298.41,49.99,42.07,4.4,0.45,0.93,0.01,0.01
kmer_A2a.egr,69,170728175,360595876,100,397.523,298.56,50.02,43.0,4.48,0.5,0.93,0.01,0.01
kmer_A2a.egr,55,170728175,360595876,100,413.427,315.11,50.0,42.46,4.44,0.46,0.93,0.01,0.01
kmer_A2a.egr,613,170728175,360595876,1000,413.605,313.95,50.15,42.93,4.4,1.07,1.08,0.02,0.02
kmer_A2a.egr,609,170728175,360595876,1000,404.562,305.14,50.2,43.12,4.46,0.64,0.97,0.02,0.02
kmer_A2a.egr,608,170728175,360595876,1000,412.205,313.03,50.11,42.9,4.51,0.63,0.99,0.02,0.02
kmer_A2a.egr,618,170728175,360595876,1000,409.27,310.14,50.11,42.93,4.44,0.62,0.98,0.02,0.02
kmer_A2a.egr,641,170728175,360595876,1000,400.013,300.87,50.13,42.96,4.43,0.63,0.97,0.02,0.02
