filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,update data structure,PR-RST module,Path Reversal,Hash Table look up,Update rep array
kmer_P1a.egr,34823,139353211,297845870,100000,345.438,259.68,41.9,36.04,3.88,2.24,1.65,0.02,0.02
kmer_P1a.egr,35215,139353211,297845870,100000,330.216,244.85,42.23,36.02,3.84,1.61,1.64,0.02,0.02
kmer_P1a.egr,34801,139353211,297845870,100000,331.852,246.15,41.96,36.04,3.81,2.23,1.63,0.02,0.02
kmer_P1a.egr,35303,139353211,297845870,100000,330.363,244.49,41.92,36.01,3.91,2.25,1.73,0.02,0.02
kmer_P1a.egr,35133,139353211,297845870,100000,351.818,262.06,41.96,39.92,3.86,2.26,1.71,0.02,0.02
kmer_P1a.egr,3494,139353211,297845870,10000,330.539,249.54,39.61,35.41,3.7,1.26,0.98,0.02,0.02
kmer_P1a.egr,3500,139353211,297845870,10000,332.224,251.12,39.67,35.4,3.69,1.25,1.06,0.02,0.02
kmer_P1a.egr,3547,139353211,297845870,10000,338.378,257.68,39.63,35.46,3.9,0.75,0.93,0.02,0.02
kmer_P1a.egr,3506,139353211,297845870,10000,341.79,259.4,39.57,36.84,3.68,1.27,0.99,0.02,0.02
kmer_P1a.egr,3529,139353211,297845870,10000,333.592,252.59,39.66,35.4,3.7,1.26,0.95,0.02,0.02
kmer_P1a.egr,39,139353211,297845870,100,337.314,258.48,39.21,34.6,3.77,0.46,0.76,0.02,0.02
kmer_P1a.egr,41,139353211,297845870,100,327.609,248.82,39.23,34.58,3.74,0.45,0.76,0.01,0.01
kmer_P1a.egr,34,139353211,297845870,100,325.147,246.43,39.22,34.59,3.66,0.45,0.76,0.01,0.01
kmer_P1a.egr,38,139353211,297845870,100,337.594,258.81,39.19,34.65,3.7,0.45,0.76,0.01,0.01
kmer_P1a.egr,41,139353211,297845870,100,322.899,243.77,39.34,34.66,3.88,0.46,0.76,0.01,0.01
kmer_P1a.egr,358,139353211,297845870,1000,345.16,265.49,39.26,35.29,3.71,0.6,0.78,0.02,0.02
kmer_P1a.egr,335,139353211,297845870,1000,331.568,251.78,39.27,35.44,3.67,0.6,0.78,0.02,0.02
kmer_P1a.egr,344,139353211,297845870,1000,322.684,242.64,39.54,35.41,3.68,0.6,0.77,0.02,0.02
kmer_P1a.egr,356,139353211,297845870,1000,332.195,252.43,39.27,35.3,3.81,0.58,0.78,0.02,0.02
kmer_P1a.egr,370,139353211,297845870,1000,323.655,243.8,39.26,35.41,3.77,0.6,0.78,0.02,0.02
