filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
kmer_V1r.egr,76360,214005017,465410920,100000,464.332,315.18,66.86,63.66,8.62,5.76,4.19,0.03,0.02
kmer_V1r.egr,76398,214005017,465410920,100000,452.327,322.71,54.7,63.67,2.4,5.65,3.15,0.02,0.02
kmer_V1r.egr,75861,214005017,465410920,100000,441.735,308.76,54.89,66.66,2.51,5.75,3.1,0.04,0.02
kmer_V1r.egr,76153,214005017,465410920,100000,445.259,315.43,54.82,63.73,2.4,5.69,3.15,0.02,0.02
kmer_V1r.egr,76407,214005017,465410920,100000,447.995,315.9,56.74,63.74,2.39,5.75,3.43,0.02,0.02
kmer_V1r.egr,7650,214005017,465410920,10000,433.358,311.74,54.74,58.01,1.34,5.74,1.76,0.02,0.02
kmer_V1r.egr,7695,214005017,465410920,10000,445.459,324.1,54.65,57.97,1.33,5.62,1.74,0.02,0.02
kmer_V1r.egr,7575,214005017,465410920,10000,429.641,307.42,54.92,58.09,1.34,5.78,2.05,0.02,0.02
kmer_V1r.egr,7657,214005017,465410920,10000,436.682,314.73,54.98,58.14,1.35,5.67,1.77,0.02,0.02
kmer_V1r.egr,7636,214005017,465410920,10000,442.3,320.62,54.8,57.99,1.4,5.65,1.79,0.03,0.02
kmer_V1r.egr,82,214005017,465410920,100,424.477,307.63,53.4,56.07,0.55,5.61,1.16,0.03,0.02
kmer_V1r.egr,81,214005017,465410920,100,419.702,302.62,53.53,56.04,0.51,5.8,1.15,0.02,0.01
kmer_V1r.egr,73,214005017,465410920,100,444.278,327.59,53.34,56.08,0.5,5.58,1.15,0.02,0.01
kmer_V1r.egr,73,214005017,465410920,100,425.171,308.6,53.29,56.06,0.52,5.52,1.15,0.02,0.01
kmer_V1r.egr,74,214005017,465410920,100,439.139,322.25,53.45,56.09,0.51,5.65,1.15,0.02,0.02
kmer_V1r.egr,766,214005017,465410920,1000,423.629,306.1,53.41,56.25,0.64,5.98,1.22,0.02,0.02
kmer_V1r.egr,752,214005017,465410920,1000,437.625,320.53,53.32,56.27,0.65,5.6,1.22,0.02,0.02
kmer_V1r.egr,745,214005017,465410920,1000,423.528,306.38,53.46,56.23,0.65,5.57,1.2,0.02,0.02
kmer_V1r.egr,750,214005017,465410920,1000,428.087,310.85,53.3,56.27,0.65,5.74,1.25,0.02,0.02
kmer_V1r.egr,772,214005017,465410920,1000,424.865,307.65,53.38,56.23,0.65,5.71,1.21,0.02,0.02
