filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,update data structure,PR-RST module,Path Reversal,Hash Table look up,Update rep array
kmer_V2a.egr,16218,55042369,117248284,100000,158.32,121.51,16.73,15.96,1.91,1.47,0.7,0.02,0.02
kmer_V2a.egr,16066,55042369,117248284,100000,159.695,122.54,16.65,15.93,1.8,2.06,0.68,0.02,0.02
kmer_V2a.egr,16158,55042369,117248284,100000,174.976,131.53,22.13,15.63,1.84,3.15,0.66,0.02,0.02
kmer_V2a.egr,16103,55042369,117248284,100000,173.693,129.75,22.73,16.72,1.8,2.0,0.67,0.02,0.02
kmer_V2a.egr,16001,55042369,117248284,100000,172.842,129.62,22.73,15.94,1.79,2.01,0.7,0.02,0.02
kmer_V2a.egr,1565,55042369,117248284,10000,173.781,129.73,21.54,19.25,1.7,0.88,0.63,0.02,0.02
kmer_V2a.egr,1607,55042369,117248284,10000,177.05,130.85,21.57,19.17,3.36,1.48,0.58,0.02,0.02
kmer_V2a.egr,1548,55042369,117248284,10000,157.071,117.07,19.99,16.45,1.71,1.29,0.52,0.02,0.02
kmer_V2a.egr,1568,55042369,117248284,10000,158.915,120.36,18.48,17.01,1.73,0.81,0.48,0.02,0.02
kmer_V2a.egr,1559,55042369,117248284,10000,160.576,122.08,18.43,17.0,1.75,0.81,0.47,0.02,0.02
kmer_V2a.egr,11,55042369,117248284,100,155.348,118.82,17.49,16.03,2.19,0.42,0.38,0.02,0.01
kmer_V2a.egr,13,55042369,117248284,100,177.859,139.23,21.25,14.94,1.7,0.37,0.32,0.02,0.02
kmer_V2a.egr,11,55042369,117248284,100,164.176,131.36,15.53,14.72,1.83,0.39,0.32,0.01,0.01
kmer_V2a.egr,9,55042369,117248284,100,172.328,130.32,21.28,18.19,1.76,0.44,0.32,0.02,0.02
kmer_V2a.egr,15,55042369,117248284,100,159.681,126.99,15.51,14.77,1.67,0.39,0.32,0.02,0.01
kmer_V2a.egr,155,55042369,117248284,1000,173.281,130.0,21.28,19.16,1.68,0.66,0.46,0.02,0.02
kmer_V2a.egr,170,55042369,117248284,1000,169.278,127.98,21.3,17.36,1.73,0.55,0.32,0.01,0.02
kmer_V2a.egr,155,55042369,117248284,1000,171.278,127.91,21.29,19.19,1.71,0.67,0.46,0.02,0.02
kmer_V2a.egr,168,55042369,117248284,1000,172.88,129.56,21.31,19.11,1.72,0.67,0.47,0.02,0.02
kmer_V2a.egr,161,55042369,117248284,1000,155.384,119.9,16.68,16.12,1.7,0.58,0.36,0.02,0.02
