filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,PR-RST module,update data structure,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
kron_g500-logn18.egr,1158,262144,21269364,100000,7.44604,3.59,2.58,0.64,0.39,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,1208,262144,21269364,100000,8.24567,3.99,2.58,1.06,0.37,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,1165,262144,21269364,100000,7.50963,3.67,2.6,0.63,0.37,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,1174,262144,21269364,100000,7.42586,3.59,2.58,0.63,0.37,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,1218,262144,21269364,100000,7.54539,3.62,2.67,0.64,0.37,0.2,0.03,0.01,0.01
kron_g500-logn18.egr,127,262144,21269364,10000,7.19679,3.59,2.59,0.44,0.34,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,115,262144,21269364,10000,7.17279,3.58,2.57,0.45,0.34,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,121,262144,21269364,10000,7.18234,3.59,2.57,0.44,0.33,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,95,262144,21269364,10000,7.25699,3.58,2.65,0.44,0.35,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,122,262144,21269364,10000,7.17475,3.59,2.55,0.44,0.35,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,0,262144,21269364,100,6.52821,3.39,2.61,,0.33,0.18,,,0.01
kron_g500-logn18.egr,1,262144,21269364,100,6.82307,3.44,2.6,0.22,0.32,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,2,262144,21269364,100,6.8492,3.47,2.55,0.26,0.33,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,2,262144,21269364,100,6.88477,3.52,2.55,0.26,0.32,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,2,262144,21269364,100,6.9183,3.46,2.64,0.26,0.33,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,17,262144,21269364,1000,7.05451,3.47,2.63,0.37,0.34,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,12,262144,21269364,1000,6.97444,3.46,2.62,0.33,0.33,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,16,262144,21269364,1000,7.01477,3.48,2.6,0.37,0.34,0.18,0.03,0.01,0.01
kron_g500-logn18.egr,14,262144,21269364,1000,6.98221,3.51,2.56,0.33,0.34,0.19,0.03,0.01,0.01
kron_g500-logn18.egr,20,262144,21269364,1000,7.01959,3.45,2.56,0.37,0.4,0.2,0.03,0.01,0.01
