filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,Update rep array
kron_g500-logn19.egr,0,524288,43791852,100000,10.2638,5.69,3.52,0.83,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,100000,10.272,5.68,3.54,0.82,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,100000,10.2696,5.7,3.51,0.84,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,100000,10.4811,5.69,3.73,0.84,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,100000,10.2491,5.69,3.49,0.84,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,10000,10.2144,5.72,3.5,0.78,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,10000,10.3296,5.74,3.58,0.79,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,10000,10.1834,5.72,3.45,0.78,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,10000,10.2673,5.72,3.54,0.78,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,10000,10.2436,5.71,3.54,0.77,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,100,17.5973,7.76,4.31,3.77,1.75,0.01
kron_g500-logn19.egr,0,524288,43791852,100,10.3368,5.74,3.57,0.8,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,100,10.2339,5.74,3.5,0.77,0.21,0.01
kron_g500-logn19.egr,0,524288,43791852,100,10.1829,5.7,3.48,0.77,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,100,10.2049,5.72,3.48,0.78,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,1000,10.2084,5.71,3.48,0.79,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,1000,10.2685,5.74,3.51,0.79,0.23,0.01
kron_g500-logn19.egr,0,524288,43791852,1000,10.1765,5.74,3.43,0.78,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,1000,10.2868,5.7,3.57,0.79,0.22,0.01
kron_g500-logn19.egr,0,524288,43791852,1000,10.257,5.72,3.54,0.78,0.21,0.01
