filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
kron_g500-logn21.egr,926,2097152,183188180,100000,32.1751,21.61,7.7,1.77,0.65,0.37,0.05,0.02,0.01
kron_g500-logn21.egr,922,2097152,183188180,100000,32.3523,21.63,7.44,1.77,1.06,0.37,0.05,0.02,0.01
kron_g500-logn21.egr,911,2097152,183188180,100000,32.2723,21.56,7.83,1.79,0.65,0.37,0.05,0.02,0.01
kron_g500-logn21.egr,954,2097152,183188180,100000,32.19,21.57,7.76,1.77,0.65,0.37,0.05,0.02,0.01
kron_g500-logn21.egr,902,2097152,183188180,100000,32.3485,21.66,7.82,1.78,0.65,0.37,0.05,0.02,0.01
kron_g500-logn21.egr,96,2097152,183188180,10000,32.1012,21.49,7.96,1.71,0.5,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,113,2097152,183188180,10000,33.244,23.12,7.49,1.7,0.49,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,108,2097152,183188180,10000,31.9386,21.43,7.87,1.7,0.5,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,93,2097152,183188180,10000,31.7401,21.4,7.66,1.74,0.5,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,95,2097152,183188180,10000,31.8077,21.44,7.67,1.75,0.5,0.37,0.04,0.02,0.01
kron_g500-logn21.egr,0,2097152,183188180,100,29.9027,20.11,7.72,1.69,,0.37,,,0.01
kron_g500-logn21.egr,2,2097152,183188180,100,31.2247,20.53,8.25,1.72,0.29,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,1,2097152,183188180,100,30.9192,20.56,7.99,1.68,0.25,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,0,2097152,183188180,100,30.128,20.13,7.93,1.69,,0.36,,,0.01
kron_g500-logn21.egr,0,2097152,183188180,100,29.9122,20.09,7.77,1.67,,0.37,,,0.01
kron_g500-logn21.egr,15,2097152,183188180,1000,31.4571,20.91,8.07,1.67,0.37,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,4,2097152,183188180,1000,30.9016,20.51,7.93,1.69,0.34,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,11,2097152,183188180,1000,31.0113,20.9,7.59,1.71,0.38,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,7,2097152,183188180,1000,30.5181,20.46,7.57,1.71,0.33,0.37,0.04,0.01,0.01
kron_g500-logn21.egr,13,2097152,183188180,1000,30.7767,20.53,7.74,1.7,0.38,0.37,0.04,0.01,0.01
