filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
ljournal-2008.egr,5049,5363260,99028690,100000,30.2366,14.94,12.53,1.17,0.81,0.68,0.08,0.02,0.01
ljournal-2008.egr,5054,5363260,99028690,100000,31.2568,15.19,12.77,1.16,1.36,0.68,0.08,0.01,0.02
ljournal-2008.egr,4952,5363260,99028690,100000,30.7808,15.0,12.48,1.16,1.36,0.68,0.08,0.01,0.02
ljournal-2008.egr,5084,5363260,99028690,100000,32.1164,16.21,13.03,1.15,0.91,0.68,0.09,0.02,0.02
ljournal-2008.egr,5140,5363260,99028690,100000,43.2915,22.44,17.03,1.63,1.02,1.03,0.11,0.02,0.02
ljournal-2008.egr,502,5363260,99028690,10000,29.8238,15.26,12.13,1.1,0.58,0.66,0.06,0.02,0.01
ljournal-2008.egr,499,5363260,99028690,10000,29.3844,14.81,12.14,1.1,0.59,0.65,0.06,0.02,0.01
ljournal-2008.egr,542,5363260,99028690,10000,29.6398,14.93,12.23,1.09,0.63,0.66,0.06,0.02,0.01
ljournal-2008.egr,510,5363260,99028690,10000,41.8901,22.79,15.81,1.49,0.7,0.98,0.09,0.02,0.02
ljournal-2008.egr,518,5363260,99028690,10000,29.245,14.59,12.17,1.11,0.62,0.66,0.06,0.02,0.01
ljournal-2008.egr,10,5363260,99028690,100,28.5838,14.58,11.82,1.07,0.37,0.65,0.06,0.01,0.01
ljournal-2008.egr,8,5363260,99028690,100,28.5676,14.53,11.83,1.09,0.37,0.65,0.06,0.01,0.01
ljournal-2008.egr,4,5363260,99028690,100,28.6043,14.63,11.85,1.06,0.33,0.65,0.06,0.01,0.01
ljournal-2008.egr,6,5363260,99028690,100,28.657,14.59,11.85,1.13,0.33,0.66,0.06,0.01,0.01
ljournal-2008.egr,4,5363260,99028690,100,28.7608,14.68,11.93,1.07,0.33,0.66,0.06,0.01,0.01
ljournal-2008.egr,39,5363260,99028690,1000,29.2545,15.11,11.86,1.09,0.46,0.65,0.06,0.01,0.01
ljournal-2008.egr,50,5363260,99028690,1000,29.023,14.88,11.86,1.09,0.46,0.65,0.06,0.01,0.01
ljournal-2008.egr,49,5363260,99028690,1000,28.7488,14.6,11.87,1.08,0.46,0.66,0.06,0.01,0.01
ljournal-2008.egr,64,5363260,99028690,1000,29.0787,14.62,12.12,1.09,0.5,0.65,0.06,0.02,0.01
ljournal-2008.egr,45,5363260,99028690,1000,29.2255,15.08,11.86,1.09,0.46,0.65,0.06,0.02,0.01
