filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,PR-RST module,Pointer Jumping,update data structure,Path Reversal,Hash Table look up,Update rep array
rgg_n_2_23_s0.egr,11691,8388608,127002794,100000,62.008,31.02,21.71,4.74,2.35,1.9,0.25,0.02,0.02
rgg_n_2_23_s0.egr,11650,8388608,127002794,100000,61.3039,29.56,21.5,5.66,2.36,1.9,0.25,0.02,0.03
rgg_n_2_23_s0.egr,11588,8388608,127002794,100000,62.6648,31.72,21.48,4.81,2.35,2.02,0.25,0.02,0.02
rgg_n_2_23_s0.egr,11689,8388608,127002794,100000,63.2512,32.19,21.61,4.76,2.36,2.03,0.25,0.02,0.02
rgg_n_2_23_s0.egr,11717,8388608,127002794,100000,60.5136,31.03,21.52,3.38,2.36,1.93,0.25,0.02,0.02
rgg_n_2_23_s0.egr,1157,8388608,127002794,10000,56.2901,30.15,19.84,2.03,2.19,1.86,0.17,0.02,0.02
rgg_n_2_23_s0.egr,1118,8388608,127002794,10000,57.7451,31.56,19.9,2.01,2.19,1.88,0.17,0.02,0.02
rgg_n_2_23_s0.egr,1173,8388608,127002794,10000,57.5516,31.83,19.96,1.5,2.18,1.83,0.19,0.03,0.03
rgg_n_2_23_s0.egr,1164,8388608,127002794,10000,57.0937,30.85,19.98,2.04,2.19,1.82,0.17,0.02,0.02
rgg_n_2_23_s0.egr,1173,8388608,127002794,10000,58.4333,32.68,20.04,1.44,2.19,1.86,0.19,0.02,0.02
rgg_n_2_23_s0.egr,10,8388608,127002794,100,55.0779,31.9,18.64,0.45,2.09,1.85,0.1,0.02,0.02
rgg_n_2_23_s0.egr,11,8388608,127002794,100,54.0061,31.14,18.43,0.44,2.09,1.78,0.1,0.02,0.02
rgg_n_2_23_s0.egr,11,8388608,127002794,100,55.0741,31.17,18.5,0.53,2.09,2.64,0.11,0.02,0.03
rgg_n_2_23_s0.egr,13,8388608,127002794,100,53.8858,30.75,18.49,0.5,2.09,1.89,0.12,0.02,0.03
rgg_n_2_23_s0.egr,9,8388608,127002794,100,52.6873,29.77,18.47,0.45,2.09,1.76,0.1,0.02,0.02
rgg_n_2_23_s0.egr,134,8388608,127002794,1000,54.7871,30.18,19.81,0.65,2.11,1.89,0.12,0.02,0.02
rgg_n_2_23_s0.egr,108,8388608,127002794,1000,54.0345,29.73,19.63,0.6,2.11,1.82,0.11,0.02,0.02
rgg_n_2_23_s0.egr,100,8388608,127002794,1000,54.7796,30.36,19.76,0.59,2.11,1.82,0.12,0.02,0.02
rgg_n_2_23_s0.egr,123,8388608,127002794,1000,54.0951,29.7,19.34,0.96,2.11,1.81,0.12,0.02,0.03
rgg_n_2_23_s0.egr,104,8388608,127002794,1000,54.2677,29.97,19.59,0.6,2.11,1.85,0.11,0.02,0.02
