filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Hash Table look up,Update rep array
rgg_n_2_24_s0.egr,11902,16777216,265114402,100000,101.616,45.61,43.31,4.61,4.07,3.55,0.43,0.02,0.02
rgg_n_2_24_s0.egr,12068,16777216,265114402,100000,97.7966,46.39,38.4,4.61,4.39,3.64,0.32,0.02,0.02
rgg_n_2_24_s0.egr,11749,16777216,265114402,100000,95.4433,43.78,39.51,4.24,3.88,3.6,0.39,0.02,0.02
rgg_n_2_24_s0.egr,11977,16777216,265114402,100000,99.4507,44.43,40.98,4.33,4.56,4.71,0.4,0.02,0.02
rgg_n_2_24_s0.egr,11723,16777216,265114402,100000,96.436,45.14,38.69,4.13,4.53,3.5,0.39,0.03,0.03
rgg_n_2_24_s0.egr,1243,16777216,265114402,10000,94.9252,45.23,40.2,4.26,1.47,3.48,0.25,0.02,0.02
rgg_n_2_24_s0.egr,1216,16777216,265114402,10000,90.314,45.61,35.1,4.26,1.69,3.41,0.21,0.02,0.02
rgg_n_2_24_s0.egr,1196,16777216,265114402,10000,97.2035,46.36,40.74,4.27,2.13,3.37,0.28,0.03,0.03
rgg_n_2_24_s0.egr,1163,16777216,265114402,10000,95.7258,47.15,39.16,4.25,1.59,3.33,0.2,0.02,0.02
rgg_n_2_24_s0.egr,1117,16777216,265114402,10000,98.5837,48.55,40.08,4.24,2.06,3.35,0.25,0.02,0.02
rgg_n_2_24_s0.egr,7,16777216,265114402,100,89.8029,49.82,32.0,4.1,0.35,3.36,0.13,0.02,0.02
rgg_n_2_24_s0.egr,14,16777216,265114402,100,91.7689,46.22,37.42,4.1,0.45,3.37,0.17,0.02,0.02
rgg_n_2_24_s0.egr,16,16777216,265114402,100,93.45,47.42,37.78,4.11,0.41,3.57,0.12,0.01,0.02
rgg_n_2_24_s0.egr,11,16777216,265114402,100,92.2791,46.71,37.46,4.1,0.45,3.35,0.17,0.02,0.02
rgg_n_2_24_s0.egr,13,16777216,265114402,100,90.7004,45.4,37.14,4.1,0.43,3.42,0.17,0.02,0.02
rgg_n_2_24_s0.egr,106,16777216,265114402,1000,90.6549,46.81,35.64,4.12,0.51,3.42,0.13,0.02,0.02
rgg_n_2_24_s0.egr,140,16777216,265114402,1000,88.2049,46.03,34.5,3.49,0.61,3.38,0.16,0.02,0.02
rgg_n_2_24_s0.egr,121,16777216,265114402,1000,89.0162,47.25,33.35,4.12,0.59,3.51,0.14,0.02,0.03
rgg_n_2_24_s0.egr,121,16777216,265114402,1000,95.1256,46.93,39.79,4.12,0.66,3.38,0.19,0.02,0.03
rgg_n_2_24_s0.egr,129,16777216,265114402,1000,93.5319,45.37,39.81,4.12,0.67,3.34,0.18,0.02,0.02
