filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,Pointer Jumping,PR-RST module,update data structure,Path Reversal,Update rep array,Hash Table look up
road_usa.egr,25827,23947347,57708624,100000,50.7884,33.07,8.19,4.26,4.03,0.85,0.35,0.02,0.02
road_usa.egr,25705,23947347,57708624,100000,76.1534,50.56,10.7,6.0,5.63,2.74,0.47,0.02,0.02
road_usa.egr,25776,23947347,57708624,100000,74.7659,50.48,10.62,6.01,5.99,1.15,0.48,0.02,0.02
road_usa.egr,25706,23947347,57708624,100000,74.2796,49.9,10.76,5.99,5.96,1.14,0.48,0.02,0.02
road_usa.egr,25912,23947347,57708624,100000,76.9769,50.46,12.96,6.0,5.91,1.12,0.49,0.02,0.02
road_usa.egr,2561,23947347,57708624,10000,69.6791,50.97,10.2,5.54,1.59,1.04,0.3,0.02,0.02
road_usa.egr,2557,23947347,57708624,10000,69.8558,50.19,10.37,5.54,2.28,1.11,0.32,0.03,0.03
road_usa.egr,2541,23947347,57708624,10000,48.0442,33.59,7.69,3.97,1.74,0.81,0.21,0.02,0.01
road_usa.egr,2605,23947347,57708624,10000,70.644,50.4,10.24,5.57,2.96,1.14,0.29,0.02,0.02
road_usa.egr,2583,23947347,57708624,10000,69.6556,50.29,10.21,5.54,2.21,1.07,0.3,0.02,0.02
road_usa.egr,23,23947347,57708624,100,66.9808,50.08,9.55,5.39,0.55,1.14,0.22,0.03,0.02
road_usa.egr,25,23947347,57708624,100,67.1831,50.33,9.56,5.39,0.54,1.08,0.23,0.02,0.02
road_usa.egr,26,23947347,57708624,100,67.1,50.53,9.44,5.37,0.49,1.01,0.22,0.02,0.02
road_usa.egr,26,23947347,57708624,100,67.3427,50.52,9.6,5.39,0.55,1.01,0.23,0.02,0.02
road_usa.egr,23,23947347,57708624,100,67.1942,50.11,9.91,5.39,0.5,1.03,0.22,0.02,0.02
road_usa.egr,239,23947347,57708624,1000,68.3903,50.6,10.0,5.4,1.09,1.03,0.23,0.02,0.02
road_usa.egr,234,23947347,57708624,1000,68.1409,50.64,10.08,5.4,0.69,1.03,0.24,0.03,0.02
road_usa.egr,244,23947347,57708624,1000,67.5305,49.95,9.87,5.4,0.69,1.36,0.22,0.03,0.01
road_usa.egr,242,23947347,57708624,1000,67.8082,49.99,10.06,5.41,1.06,1.02,0.23,0.02,0.02
road_usa.egr,243,23947347,57708624,1000,69.0984,50.76,10.52,5.4,1.11,1.03,0.23,0.02,0.02
