filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Update rep array,Hash Table look up
soc-LiveJournal1.egr,4995,4847571,85706224,100000,29.036,14.9,11.55,1.05,0.79,0.63,0.08,0.02,0.02
soc-LiveJournal1.egr,4896,4847571,85706224,100000,28.678,14.03,11.56,1.05,1.31,0.63,0.07,0.01,0.02
soc-LiveJournal1.egr,4992,4847571,85706224,100000,29.1481,14.55,11.49,1.03,1.33,0.63,0.08,0.02,0.02
soc-LiveJournal1.egr,4918,4847571,85706224,100000,28.2685,13.88,11.24,1.06,1.33,0.64,0.08,0.02,0.02
soc-LiveJournal1.egr,4889,4847571,85706224,100000,28.7635,14.82,11.36,1.04,0.8,0.63,0.08,0.02,0.02
soc-LiveJournal1.egr,472,4847571,85706224,10000,27.5215,14.36,10.91,0.98,0.59,0.6,0.06,0.02,0.01
soc-LiveJournal1.egr,524,4847571,85706224,10000,28.034,14.75,10.98,0.97,0.64,0.6,0.06,0.01,0.02
soc-LiveJournal1.egr,512,4847571,85706224,10000,27.6103,14.28,10.99,1.0,0.64,0.6,0.06,0.01,0.02
soc-LiveJournal1.egr,465,4847571,85706224,10000,27.6224,14.4,10.95,0.99,0.59,0.6,0.06,0.01,0.02
soc-LiveJournal1.egr,443,4847571,85706224,10000,27.7323,14.52,10.95,0.98,0.59,0.6,0.06,0.01,0.01
soc-LiveJournal1.egr,3,4847571,85706224,100,26.733,14.12,10.68,0.96,0.3,0.6,0.06,0.01,0.01
soc-LiveJournal1.egr,5,4847571,85706224,100,27.0172,14.52,10.52,0.96,0.33,0.59,0.06,0.01,0.01
soc-LiveJournal1.egr,4,4847571,85706224,100,26.8008,14.24,10.57,0.98,0.34,0.59,0.06,0.01,0.01
soc-LiveJournal1.egr,4,4847571,85706224,100,27.0353,14.3,10.73,0.99,0.33,0.59,0.06,0.01,0.01
soc-LiveJournal1.egr,7,4847571,85706224,100,26.8331,14.13,10.71,0.98,0.34,0.59,0.06,0.01,0.02
soc-LiveJournal1.egr,39,4847571,85706224,1000,27.7631,14.35,11.3,0.98,0.46,0.59,0.06,0.01,0.01
soc-LiveJournal1.egr,44,4847571,85706224,1000,27.3752,14.41,10.86,0.97,0.45,0.6,0.06,0.01,0.01
soc-LiveJournal1.egr,52,4847571,85706224,1000,28.6547,15.46,11.08,0.98,0.46,0.59,0.06,0.01,0.02
soc-LiveJournal1.egr,57,4847571,85706224,1000,26.9814,14.11,10.72,1.01,0.46,0.6,0.06,0.01,0.01
soc-LiveJournal1.egr,49,4847571,85706224,1000,26.9081,14.05,10.74,0.99,0.46,0.59,0.06,0.02,0.01
