filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,update data structure,PR-RST module,Pointer Jumping,Path Reversal,Hash Table look up,Update rep array
sx-stackoverflow.egr,4011,2601977,56414194,100000,18.7953,9.01,7.73,0.81,0.73,0.44,0.05,0.01,0.01
sx-stackoverflow.egr,4009,2601977,56414194,100000,19.2601,8.94,7.72,0.82,1.25,0.44,0.05,0.02,0.01
sx-stackoverflow.egr,3916,2601977,56414194,100000,20.0908,9.38,8.15,0.81,1.24,0.44,0.06,0.01,0.01
sx-stackoverflow.egr,4080,2601977,56414194,100000,22.4069,9.28,11.05,0.81,0.74,0.44,0.06,0.01,0.01
sx-stackoverflow.egr,3939,2601977,56414194,100000,21.8137,8.66,10.6,0.8,1.24,0.44,0.06,0.01,0.01
sx-stackoverflow.egr,373,2601977,56414194,10000,18.6371,9.16,7.67,0.75,0.57,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,406,2601977,56414194,10000,18.3186,8.86,7.63,0.76,0.57,0.43,0.05,0.01,0.01
sx-stackoverflow.egr,370,2601977,56414194,10000,18.3659,8.87,7.66,0.76,0.57,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,398,2601977,56414194,10000,18.293,8.81,7.65,0.76,0.57,0.43,0.05,0.01,0.01
sx-stackoverflow.egr,427,2601977,56414194,10000,18.4814,9.01,7.64,0.76,0.58,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,2,2601977,56414194,100,18.1246,9.09,7.5,0.75,0.28,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,4,2601977,56414194,100,18.1076,9.1,7.47,0.74,0.32,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,7,2601977,56414194,100,18.6352,9.28,7.79,0.75,0.32,0.42,0.04,0.01,0.01
sx-stackoverflow.egr,1,2601977,56414194,100,17.6805,8.85,7.39,0.73,0.24,0.42,0.04,0.01,0.01
sx-stackoverflow.egr,4,2601977,56414194,100,17.8212,8.82,7.45,0.75,0.32,0.42,0.04,0.01,0.01
sx-stackoverflow.egr,40,2601977,56414194,1000,18.6597,9.34,7.62,0.77,0.44,0.42,0.04,0.01,0.01
sx-stackoverflow.egr,38,2601977,56414194,1000,18.0816,8.93,7.49,0.74,0.43,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,29,2601977,56414194,1000,18.5413,9.14,7.73,0.78,0.39,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,41,2601977,56414194,1000,18.1736,8.98,7.52,0.75,0.43,0.43,0.04,0.01,0.01
sx-stackoverflow.egr,37,2601977,56414194,1000,18.1805,9.01,7.5,0.75,0.44,0.43,0.04,0.01,0.01
