filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Update rep array,Hash Table look up
uk-2002.egr,1804,18520486,523651232,100000,117.699,66.71,39.31,6.93,3.87,0.7,0.13,0.02,0.02
uk-2002.egr,1789,18520486,523651232,100000,98.9292,58.16,30.65,6.43,2.81,0.71,0.13,0.01,0.02
uk-2002.egr,1771,18520486,523651232,100000,106.059,64.06,32.13,5.52,3.27,0.87,0.17,0.02,0.03
uk-2002.egr,1780,18520486,523651232,100000,98.6094,57.95,30.48,6.48,2.81,0.71,0.13,0.02,0.02
uk-2002.egr,1721,18520486,523651232,100000,114.432,66.83,36.85,6.17,3.62,0.77,0.15,0.02,0.02
uk-2002.egr,176,18520486,523651232,10000,111.809,65.83,35.55,6.06,3.56,0.61,0.14,0.03,0.02
uk-2002.egr,178,18520486,523651232,10000,97.9468,57.82,30.23,6.37,2.81,0.55,0.13,0.02,0.02
uk-2002.egr,161,18520486,523651232,10000,93.1625,58.32,26.89,4.39,2.86,0.54,0.13,0.02,0.02
uk-2002.egr,162,18520486,523651232,10000,115.791,66.17,38.93,6.19,3.8,0.54,0.13,0.02,0.02
uk-2002.egr,162,18520486,523651232,10000,97.5589,59.97,29.06,4.8,2.97,0.57,0.14,0.03,0.02
uk-2002.egr,3,18520486,523651232,100,90.8783,56.09,25.75,5.71,2.81,0.34,0.14,0.01,0.02
uk-2002.egr,4,18520486,523651232,100,106.561,59.68,36.92,5.86,3.61,0.33,0.13,0.02,0.02
uk-2002.egr,5,18520486,523651232,100,107.455,56.03,40.42,6.63,3.87,0.34,0.13,0.02,0.01
uk-2002.egr,1,18520486,523651232,100,93.5158,54.9,29.0,6.41,2.8,0.25,0.13,0.01,0.01
uk-2002.egr,1,18520486,523651232,100,109.712,59.68,39.4,6.35,3.86,0.26,0.13,0.02,0.01
uk-2002.egr,15,18520486,523651232,1000,109.405,58.74,39.66,6.61,3.86,0.38,0.13,0.02,0.02
uk-2002.egr,12,18520486,523651232,1000,112.411,65.27,36.61,6.19,3.63,0.48,0.18,0.03,0.02
uk-2002.egr,12,18520486,523651232,1000,107.105,60.22,36.76,5.97,3.62,0.37,0.13,0.02,0.02
uk-2002.egr,17,18520486,523651232,1000,92.5197,56.34,26.49,6.3,2.8,0.43,0.13,0.02,0.01
uk-2002.egr,26,18520486,523651232,1000,91.1068,56.94,26.32,4.44,2.83,0.42,0.13,0.01,0.01
