filename,tree_edges_count,numVertices,numEdges,batch_size,total_time,Super graph Creation,Eulerian Tour,update data structure,Pointer Jumping,PR-RST module,Path Reversal,Hash Table look up,Update rep array
uk-2005.egr,1156,39459925,1566080060,100000,240.668,168.77,46.86,18.09,5.97,0.7,0.24,0.02,0.02
uk-2005.egr,1271,39459925,1566080060,100000,241.352,169.43,46.98,18.0,5.97,0.7,0.24,0.02,0.02
uk-2005.egr,1233,39459925,1566080060,100000,248.712,175.35,51.44,14.26,6.68,0.71,0.24,0.02,0.02
uk-2005.egr,1214,39459925,1566080060,100000,250.413,171.1,54.17,18.2,5.97,0.71,0.24,0.02,0.02
uk-2005.egr,1204,39459925,1566080060,100000,235.917,172.57,44.18,12.23,5.96,0.7,0.24,0.02,0.02
uk-2005.egr,117,39459925,1566080060,10000,232.06,168.81,44.06,12.37,5.97,0.55,0.25,0.02,0.03
uk-2005.egr,144,39459925,1566080060,10000,235.646,172.4,44.35,12.11,5.97,0.54,0.24,0.01,0.01
uk-2005.egr,111,39459925,1566080060,10000,234.299,169.18,45.94,12.44,5.97,0.5,0.24,0.01,0.01
uk-2005.egr,95,39459925,1566080060,10000,248.08,170.72,52.48,18.15,5.97,0.5,0.24,0.02,0.01
uk-2005.egr,130,39459925,1566080060,10000,240.872,169.01,47.0,18.08,5.97,0.55,0.24,0.02,0.01
uk-2005.egr,0,39459925,1566080060,100,220.717,157.54,45.05,12.15,5.97,,,,0.01
uk-2005.egr,0,39459925,1566080060,100,220.072,157.76,43.8,12.52,5.96,,,,0.03
uk-2005.egr,3,39459925,1566080060,100,234.533,164.12,49.47,13.82,6.47,0.35,0.25,0.02,0.02
uk-2005.egr,0,39459925,1566080060,100,222.462,158.15,45.7,12.62,5.99,,,,0.02
uk-2005.egr,0,39459925,1566080060,100,241.008,157.54,57.69,19.77,5.98,,,,0.03
uk-2005.egr,10,39459925,1566080060,1000,240.004,165.7,52.61,14.3,6.75,0.38,0.24,0.01,0.02
uk-2005.egr,14,39459925,1566080060,1000,248.44,165.46,58.36,16.44,7.42,0.46,0.25,0.02,0.03
uk-2005.egr,10,39459925,1566080060,1000,231.746,163.88,47.01,13.82,6.2,0.48,0.26,0.02,0.07
uk-2005.egr,11,39459925,1566080060,1000,250.246,161.47,63.91,18.17,5.96,0.44,0.25,0.02,0.02
uk-2005.egr,11,39459925,1566080060,1000,247.688,168.47,55.9,15.51,7.16,0.38,0.24,0.01,0.02
