filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
kron_g500-logn18.egr,262144,21269364,100,1.4,6.8,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,1000,15.8,7.01,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,10000,116.0,7.2,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,100000,1184.6,7.63,kron_g500-logn18_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100,61.4,401.05,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,1000,617.8,407.93,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,10000,6149.4,410.35,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100000,61749.0,417.55,kmer_A2a_output_data_average.csv
germany_osm.egr,11548845,24738362,100,31.2,27.44,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,1000,312.4,28.1,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,10000,3111.6,29.57,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,100000,31148.6,32.24,germany_osm_output_data_average.csv
as-Skitter.egr,1696415,22192106,100,6.0,10.84,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,1000,65.0,11.01,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,10000,615.4,11.16,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,100000,6224.2,12.42,as-Skitter_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100,1.6,19.85,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,1000,17.8,20.16,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,10000,145.8,20.77,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100000,1461.4,21.14,hollywood-2009_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100,31.0,80.93,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,1000,294.6,85.04,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,10000,2952.6,84.0,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100000,29805.6,89.65,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100,3.6,18.07,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,1000,37.0,18.33,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,10000,394.8,18.42,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100000,3991.0,20.47,sx-stackoverflow_output_data_average.csv
in-2004.egr,1382908,27183212,100,1.8,10.41,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,1000,6.0,10.57,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,10000,75.4,10.92,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,100000,701.0,11.39,in-2004_output_data_average.csv
europe_osm.egr,50912018,108109320,100,17.0,105.99,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,1000,162.4,109.54,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,10000,1625.8,107.82,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,100000,16360.6,113.29,europe_osm_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100,10.8,54.15,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,1000,113.8,54.39,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,10000,1157.0,57.42,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100000,11667.0,61.95,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100,4.6,26.88,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,1000,48.2,27.54,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,10000,483.2,27.7,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100000,4938.0,28.78,soc-LiveJournal1_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100,0.6,30.42,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,1000,10.0,30.93,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,10000,101.0,32.17,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100000,923.0,32.27,kron_g500-logn21_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100,6.4,28.63,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,1000,49.4,29.07,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,10000,514.2,32.0,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100000,5055.8,33.54,ljournal-2008_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100,1.2,8.53,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,1000,17.4,8.74,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,10000,160.6,9.02,coPapersCiteseer_output_data_average.csv
coPapersCiteseer.egr,434102,32073440,100000,1502.6,9.65,coPapersCiteseer_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100,12.2,91.6,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,1000,123.4,91.31,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,10000,1187.0,95.35,rgg_n_2_24_s0_output_data_average.csv
rgg_n_2_24_s0.egr,16777216,265114402,100000,11883.8,98.15,rgg_n_2_24_s0_output_data_average.csv
com-Orkut.egr,3072441,234370166,100,2.6,50.39,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,1000,19.4,52.74,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,10000,203.2,53.03,com-Orkut_output_data_average.csv
com-Orkut.egr,3072441,234370166,100000,2020.2,50.27,com-Orkut_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100,1.6,166.82,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,1000,14.4,178.57,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,10000,137.6,179.0,arabic-2005_output_data_average.csv
arabic-2005.egr,22744080,1107807202,100000,1248.0,174.05,arabic-2005_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100,61.8,195.32,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,1000,604.4,200.89,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,10000,6051.6,193.77,kmer_U1a_output_data_average.csv
kmer_U1a.egr,67716231,138866824,100000,60640.2,200.55,kmer_U1a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100,11.8,165.88,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,1000,161.8,168.42,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,10000,1569.4,165.48,kmer_V2a_output_data_average.csv
kmer_V2a.egr,55042369,117248284,100000,16109.2,167.91,kmer_V2a_output_data_average.csv
GAP-road.egr,23947347,57708624,100,10.4,52.57,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,1000,84.2,50.71,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,10000,896.2,52.27,GAP-road_output_data_average.csv
GAP-road.egr,23947347,57708624,100000,8950.0,62.93,GAP-road_output_data_average.csv
uk-2002.egr,18520486,523651232,100,2.8,101.62,uk-2002_output_data_average.csv
uk-2002.egr,18520486,523651232,1000,16.4,102.51,uk-2002_output_data_average.csv
