filename,num_comps,numVertices,numEdges,batch_size,total_time
eu-2005.egr,2599,862664,32276936,100000,10.0686
eu-2005.egr,2231,862664,32276936,100000,8.58386
eu-2005.egr,2065,862664,32276936,100000,9.38417
eu-2005.egr,2149,862664,32276936,100000,9.10421
eu-2005.egr,1803,862664,32276936,100000,8.54405
eu-2005.egr,228,862664,32276936,10000,8.52832
eu-2005.egr,190,862664,32276936,10000,8.43851
eu-2005.egr,205,862664,32276936,10000,8.12064
eu-2005.egr,299,862664,32276936,10000,8.46071
eu-2005.egr,222,862664,32276936,10000,8.75593
eu-2005.egr,4,862664,32276936,100,7.63007
eu-2005.egr,5,862664,32276936,100,7.61617
eu-2005.egr,2,862664,32276936,100,7.26426
eu-2005.egr,2,862664,32276936,100,7.25602
eu-2005.egr,2,862664,32276936,100,7.27525
eu-2005.egr,18,862664,32276936,1000,7.77205
eu-2005.egr,23,862664,32276936,1000,7.43451
eu-2005.egr,15,862664,32276936,1000,7.41409
eu-2005.egr,25,862664,32276936,1000,7.79744
eu-2005.egr,25,862664,32276936,1000,7.81941
