filename,num_comps,numVertices,numEdges,batch_size,total_time
in-2004.egr,697,1382908,27183212,100000,9.28126
in-2004.egr,729,1382908,27183212,100000,10.8769
in-2004.egr,924,1382908,27183212,100000,9.02715
in-2004.egr,843,1382908,27183212,100000,9.63984
in-2004.egr,599,1382908,27183212,100000,9.69336
in-2004.egr,63,1382908,27183212,10000,8.72031
in-2004.egr,91,1382908,27183212,10000,8.95844
in-2004.egr,87,1382908,27183212,10000,8.89245
in-2004.egr,83,1382908,27183212,10000,8.57318
in-2004.egr,85,1382908,27183212,10000,8.69994
in-2004.egr,2,1382908,27183212,100,7.86469
in-2004.egr,2,1382908,27183212,100,7.93164
in-2004.egr,2,1382908,27183212,100,7.94125
in-2004.egr,6,1382908,27183212,100,8.23008
in-2004.egr,2,1382908,27183212,100,7.85249
in-2004.egr,11,1382908,27183212,1000,8.23174
in-2004.egr,9,1382908,27183212,1000,8.29039
in-2004.egr,7,1382908,27183212,1000,8.20819
in-2004.egr,6,1382908,27183212,1000,8.18643
in-2004.egr,10,1382908,27183212,1000,8.31539
