filename,num_comps,numVertices,numEdges,batch_size,total_time
road_usa.egr,32982,23947347,57708624,100000,78.2894
road_usa.egr,31386,23947347,57708624,100000,105.837
road_usa.egr,26570,23947347,57708624,100000,103.539
road_usa.egr,36666,23947347,57708624,100000,106.699
road_usa.egr,29353,23947347,57708624,100000,103.951
road_usa.egr,675,23947347,57708624,10000,99.5511
road_usa.egr,2199,23947347,57708624,10000,101.113
road_usa.egr,1046,23947347,57708624,10000,102.137
road_usa.egr,908,23947347,57708624,10000,97.5628
road_usa.egr,2455,23947347,57708624,10000,99.9619
road_usa.egr,28,23947347,57708624,100,94.4048
road_usa.egr,22,23947347,57708624,100,95.3928
road_usa.egr,26,23947347,57708624,100,93.0997
road_usa.egr,4,23947347,57708624,100,98.1639
road_usa.egr,13,23947347,57708624,100,93.4449
road_usa.egr,163,23947347,57708624,1000,99.7238
road_usa.egr,271,23947347,57708624,1000,97.477
road_usa.egr,296,23947347,57708624,1000,98.3409
road_usa.egr,233,23947347,57708624,1000,92.9565
road_usa.egr,369,23947347,57708624,1000,96.2223
