filename,num_comps,numVertices,numEdges,batch_size,total_time
soc-LiveJournal1.egr,5684,4847571,85706224,100000,27.3802
soc-LiveJournal1.egr,5269,4847571,85706224,100000,28.8208
soc-LiveJournal1.egr,5455,4847571,85706224,100000,26.5488
soc-LiveJournal1.egr,5334,4847571,85706224,100000,27.0259
soc-LiveJournal1.egr,5405,4847571,85706224,100000,27.5473
soc-LiveJournal1.egr,566,4847571,85706224,10000,25.2464
soc-LiveJournal1.egr,577,4847571,85706224,10000,25.5209
soc-LiveJournal1.egr,528,4847571,85706224,10000,24.9606
soc-LiveJournal1.egr,521,4847571,85706224,10000,25.1164
soc-LiveJournal1.egr,496,4847571,85706224,10000,25.7142
soc-LiveJournal1.egr,5,4847571,85706224,100,23.5185
soc-LiveJournal1.egr,6,4847571,85706224,100,23.4354
soc-LiveJournal1.egr,4,4847571,85706224,100,23.6319
soc-LiveJournal1.egr,7,4847571,85706224,100,23.2561
soc-LiveJournal1.egr,7,4847571,85706224,100,23.7226
soc-LiveJournal1.egr,50,4847571,85706224,1000,24.3412
soc-LiveJournal1.egr,64,4847571,85706224,1000,24.3169
soc-LiveJournal1.egr,71,4847571,85706224,1000,24.1381
soc-LiveJournal1.egr,59,4847571,85706224,1000,24.2778
soc-LiveJournal1.egr,58,4847571,85706224,1000,24.1908
