filename,num_comps,numVertices,numEdges,batch_size,total_time
web-BerkStan.egr,273,685230,13300290,100000,8.05189
web-BerkStan.egr,978,685230,13300290,100000,8.76552
web-BerkStan.egr,900,685230,13300290,100000,8.28905
web-BerkStan.egr,967,685230,13300290,100000,6.95538
web-BerkStan.egr,1087,685230,13300290,100000,6.64212
web-BerkStan.egr,109,685230,13300290,10000,6.03215
web-BerkStan.egr,29,685230,13300290,10000,5.24518
web-BerkStan.egr,44,685230,13300290,10000,5.61479
web-BerkStan.egr,131,685230,13300290,10000,5.53368
web-BerkStan.egr,156,685230,13300290,10000,5.49463
web-BerkStan.egr,1,685230,13300290,100,3.00275
web-BerkStan.egr,2,685230,13300290,100,4.78582
web-BerkStan.egr,3,685230,13300290,100,4.79477
web-BerkStan.egr,1,685230,13300290,100,3.02302
web-BerkStan.egr,2,685230,13300290,100,4.755
web-BerkStan.egr,13,685230,13300290,1000,5.11736
web-BerkStan.egr,2,685230,13300290,1000,4.82722
web-BerkStan.egr,9,685230,13300290,1000,8.73093
web-BerkStan.egr,3,685230,13300290,1000,4.84618
web-BerkStan.egr,15,685230,13300290,1000,4.97716
