filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
kron_g500-logn18.egr,262144,21269364,100,,4.95,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,1000,,5.38,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,10000,,6.06,kron_g500-logn18_output_data_average.csv
kron_g500-logn18.egr,262144,21269364,100000,,8.81,kron_g500-logn18_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100,,641.88,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,1000,,642.66,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,10000,,642.27,kmer_A2a_output_data_average.csv
kmer_A2a.egr,170728175,360595876,100000,,659.96,kmer_A2a_output_data_average.csv
germany_osm.egr,11548845,24738362,100,,33.68,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,1000,,34.28,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,10000,,35.6,germany_osm_output_data_average.csv
germany_osm.egr,11548845,24738362,100000,,36.41,germany_osm_output_data_average.csv
as-Skitter.egr,1696415,22192106,100,,8.32,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,1000,,8.99,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,10000,,10.05,as-Skitter_output_data_average.csv
as-Skitter.egr,1696415,22192106,100000,,11.32,as-Skitter_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100,,17.03,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,1000,,18.14,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,10000,,18.82,hollywood-2009_output_data_average.csv
hollywood-2009.egr,1139905,112840436,100000,,22.64,hollywood-2009_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100,,79.19,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,1000,,80.86,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,10000,,83.91,hugebubbles-00020_output_data_average.csv
hugebubbles-00020.egr,21198119,63580358,100000,,87.9,hugebubbles-00020_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100,,14.53,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,1000,,14.97,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,10000,,15.74,sx-stackoverflow_output_data_average.csv
sx-stackoverflow.egr,2601977,56414194,100000,,17.6,sx-stackoverflow_output_data_average.csv
in-2004.egr,1382908,27183212,100,,7.96,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,1000,,8.25,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,10000,,8.77,in-2004_output_data_average.csv
in-2004.egr,1382908,27183212,100000,,9.7,in-2004_output_data_average.csv
europe_osm.egr,50912018,108109320,100,,189.85,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,1000,,188.18,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,10000,,198.58,europe_osm_output_data_average.csv
europe_osm.egr,50912018,108109320,100000,,188.66,europe_osm_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100,,47.35,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,1000,,48.82,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,10000,,50.44,rgg_n_2_23_s0_output_data_average.csv
rgg_n_2_23_s0.egr,8388608,127002794,100000,,54.94,rgg_n_2_23_s0_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100,,23.51,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,1000,,24.25,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,10000,,25.31,soc-LiveJournal1_output_data_average.csv
soc-LiveJournal1.egr,4847571,85706224,100000,,27.46,soc-LiveJournal1_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100,,25.12,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,1000,,29.16,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,10000,,29.64,kron_g500-logn21_output_data_average.csv
kron_g500-logn21.egr,2097152,183188180,100000,,30.84,kron_g500-logn21_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100,,26.1,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,1000,,28.39,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,10000,,27.77,ljournal-2008_output_data_average.csv
ljournal-2008.egr,5363260,99028690,100000,,39.23,ljournal-2008_output_data_average.csv
