filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
as-Skitter.egr,58023,1696415,22192106,100000,9.91374
as-Skitter.egr,68011,1696415,22192106,100000,12.9415
as-Skitter.egr,41701,1696415,22192106,100000,11.5496
as-Skitter.egr,71050,1696415,22192106,100000,13.1058
as-Skitter.egr,47461,1696415,22192106,100000,10.2
as-Skitter.egr,5152,1696415,22192106,10000,10.4952
as-Skitter.egr,4866,1696415,22192106,10000,9.42633
as-Skitter.egr,5878,1696415,22192106,10000,9.39329
as-Skitter.egr,5311,1696415,22192106,10000,9.39805
as-Skitter.egr,7200,1696415,22192106,10000,11.4363
as-Skitter.egr,48,1696415,22192106,100,4.57558
as-Skitter.egr,54,1696415,22192106,100,4.48337
as-Skitter.egr,68,1696415,22192106,100,5.94624
as-Skitter.egr,46,1696415,22192106,100,6.05781
as-Skitter.egr,55,1696415,22192106,100,5.64023
as-Skitter.egr,490,1696415,22192106,1000,7.766
as-Skitter.egr,607,1696415,22192106,1000,6.81304
as-Skitter.egr,659,1696415,22192106,1000,5.71939
as-Skitter.egr,441,1696415,22192106,1000,4.93571
as-Skitter.egr,525,1696415,22192106,1000,5.61753
