filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
in-2004.egr,66213,1382908,27183212,100000,9.26258
in-2004.egr,44572,1382908,27183212,100000,8.52714
in-2004.egr,68295,1382908,27183212,100000,10.1556
in-2004.egr,69254,1382908,27183212,100000,9.60992
in-2004.egr,66307,1382908,27183212,100000,9.89782
in-2004.egr,5039,1382908,27183212,10000,8.34113
in-2004.egr,6133,1382908,27183212,10000,7.02715
in-2004.egr,6524,1382908,27183212,10000,8.04303
in-2004.egr,6442,1382908,27183212,10000,6.99994
in-2004.egr,5342,1382908,27183212,10000,7.30766
in-2004.egr,67,1382908,27183212,100,3.77357
in-2004.egr,50,1382908,27183212,100,4.05414
in-2004.egr,47,1382908,27183212,100,3.53719
in-2004.egr,48,1382908,27183212,100,2.9816
in-2004.egr,47,1382908,27183212,100,4.36243
in-2004.egr,614,1382908,27183212,1000,3.71957
in-2004.egr,536,1382908,27183212,1000,4.52022
in-2004.egr,470,1382908,27183212,1000,3.31415
in-2004.egr,682,1382908,27183212,1000,4.72483
in-2004.egr,598,1382908,27183212,1000,4.3992
