filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
ljournal-2008.egr,62999,5363260,99028690,100000,19.8283
ljournal-2008.egr,48848,5363260,99028690,100000,20.8281
ljournal-2008.egr,61068,5363260,99028690,100000,18.2153
ljournal-2008.egr,54495,5363260,99028690,100000,19.81
ljournal-2008.egr,47834,5363260,99028690,100000,17.8069
ljournal-2008.egr,6135,5363260,99028690,10000,13.8388
ljournal-2008.egr,5740,5363260,99028690,10000,17.2022
ljournal-2008.egr,4320,5363260,99028690,10000,15.0817
ljournal-2008.egr,4596,5363260,99028690,10000,13.0069
ljournal-2008.egr,5154,5363260,99028690,10000,17.163
ljournal-2008.egr,50,5363260,99028690,100,9.86188
ljournal-2008.egr,63,5363260,99028690,100,11.7133
ljournal-2008.egr,71,5363260,99028690,100,9.97065
ljournal-2008.egr,53,5363260,99028690,100,12.937
ljournal-2008.egr,66,5363260,99028690,100,9.86886
ljournal-2008.egr,708,5363260,99028690,1000,12.6869
ljournal-2008.egr,574,5363260,99028690,1000,12.8201
ljournal-2008.egr,626,5363260,99028690,1000,17.6304
ljournal-2008.egr,694,5363260,99028690,1000,11.5601
ljournal-2008.egr,616,5363260,99028690,1000,9.80807
