filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
rgg_n_2_23_s0.egr,7403,8388608,127002794,100000,15.3049
rgg_n_2_23_s0.egr,3433,8388608,127002794,100000,21.1669
rgg_n_2_23_s0.egr,2615,8388608,127002794,100000,22.855
rgg_n_2_23_s0.egr,3904,8388608,127002794,100000,16.7137
rgg_n_2_23_s0.egr,7265,8388608,127002794,100000,21.0779
rgg_n_2_23_s0.egr,983,8388608,127002794,10000,20.9071
rgg_n_2_23_s0.egr,1135,8388608,127002794,10000,21.0734
rgg_n_2_23_s0.egr,710,8388608,127002794,10000,21.2639
rgg_n_2_23_s0.egr,1118,8388608,127002794,10000,18.0248
rgg_n_2_23_s0.egr,607,8388608,127002794,10000,21.0043
rgg_n_2_23_s0.egr,57,8388608,127002794,100,21.175
rgg_n_2_23_s0.egr,56,8388608,127002794,100,21.1479
rgg_n_2_23_s0.egr,44,8388608,127002794,100,18.1992
rgg_n_2_23_s0.egr,40,8388608,127002794,100,21.346
rgg_n_2_23_s0.egr,61,8388608,127002794,100,19.7243
rgg_n_2_23_s0.egr,120,8388608,127002794,1000,19.8291
rgg_n_2_23_s0.egr,166,8388608,127002794,1000,20.9315
rgg_n_2_23_s0.egr,196,8388608,127002794,1000,19.4023
rgg_n_2_23_s0.egr,133,8388608,127002794,1000,21.2395
rgg_n_2_23_s0.egr,139,8388608,127002794,1000,18.8298
