filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
road_usa.egr,62071,23947347,57708624,100000,58.4934
road_usa.egr,59917,23947347,57708624,100000,109.259
road_usa.egr,66065,23947347,57708624,100000,70.7732
road_usa.egr,71557,23947347,57708624,100000,76.8084
road_usa.egr,59276,23947347,57708624,100000,63.255
road_usa.egr,5437,23947347,57708624,10000,41.2647
road_usa.egr,5809,23947347,57708624,10000,63.5899
road_usa.egr,6858,23947347,57708624,10000,52.2262
road_usa.egr,4474,23947347,57708624,10000,57.8325
road_usa.egr,6204,23947347,57708624,10000,63.538
road_usa.egr,75,23947347,57708624,100,48.9456
road_usa.egr,44,23947347,57708624,100,48.8141
road_usa.egr,66,23947347,57708624,100,52.1253
road_usa.egr,65,23947347,57708624,100,47.187
road_usa.egr,70,23947347,57708624,100,27.0275
road_usa.egr,744,23947347,57708624,1000,38.7756
road_usa.egr,801,23947347,57708624,1000,33.8647
road_usa.egr,754,23947347,57708624,1000,61.3398
road_usa.egr,717,23947347,57708624,1000,26.4442
road_usa.egr,620,23947347,57708624,1000,70.2474
