filename,tree_edges_count,numVertices,numEdges,batch_size,total_time
wiki-topcats.egr,10954,1791489,50888414,100000,8.93201
wiki-topcats.egr,10313,1791489,50888414,100000,6.8731
wiki-topcats.egr,10350,1791489,50888414,100000,6.85904
wiki-topcats.egr,9614,1791489,50888414,100000,6.90427
wiki-topcats.egr,10629,1791489,50888414,100000,8.93223
wiki-topcats.egr,6434,1791489,50888414,10000,7.93477
wiki-topcats.egr,5132,1791489,50888414,10000,7.95096
wiki-topcats.egr,6446,1791489,50888414,10000,6.79864
wiki-topcats.egr,6436,1791489,50888414,10000,7.86177
wiki-topcats.egr,5770,1791489,50888414,10000,7.92926
wiki-topcats.egr,68,1791489,50888414,100,4.66486
wiki-topcats.egr,63,1791489,50888414,100,4.39024
wiki-topcats.egr,70,1791489,50888414,100,4.05487
wiki-topcats.egr,55,1791489,50888414,100,4.83962
wiki-topcats.egr,40,1791489,50888414,100,4.88218
wiki-topcats.egr,432,1791489,50888414,1000,4.09673
wiki-topcats.egr,675,1791489,50888414,1000,5.41299
wiki-topcats.egr,458,1791489,50888414,1000,4.53882
wiki-topcats.egr,457,1791489,50888414,1000,4.90618
wiki-topcats.egr,563,1791489,50888414,1000,4.85487
