filename,numVertices,numEdges,batch_size,tree_edges_count,total_time
arabic-2005.egr,22744080,1107807202,100,53,47.92
arabic-2005.egr,22744080,1107807202,1000,575,66.39
arabic-2005.egr,22744080,1107807202,10000,5939,57.86
arabic-2005.egr,22744080,1107807202,100000,58989,83.84
as-Skitter.egr,1696415,22192106,100,55,5.34
as-Skitter.egr,1696415,22192106,1000,545,6.17
as-Skitter.egr,1696415,22192106,10000,5682,10.03
as-Skitter.egr,1696415,22192106,100000,57250,11.54
com-Orkut.egr,3072441,234370166,100,51,9.79
com-Orkut.egr,3072441,234370166,1000,612,11.09
com-Orkut.egr,3072441,234370166,10000,4828,13.32
com-Orkut.egr,3072441,234370166,100000,54209,17.62
coPapersCiteseer.egr,434102,32073440,100,53,2.89
coPapersCiteseer.egr,434102,32073440,1000,556,3.07
coPapersCiteseer.egr,434102,32073440,10000,5654,6.14
coPapersCiteseer.egr,434102,32073440,100000,7749,5.82
coPapersDBLP.egr,540486,30491458,100,58,2.94
coPapersDBLP.egr,540486,30491458,1000,588,3.3
coPapersDBLP.egr,540486,30491458,10000,4714,5.66
coPapersDBLP.egr,540486,30491458,100000,12234,6.15
delaunay_n24.egr,16777216,100663202,100,13,0.0
delaunay_n24.egr,16777216,100663202,1000,158,0.0
delaunay_n24.egr,16777216,100663202,10000,1282,0.0
delaunay_n24.egr,16777216,100663202,100000,14446,0.0
eu-2005.egr,862664,32276936,100,58,3.14
eu-2005.egr,862664,32276936,1000,570,3.34
eu-2005.egr,862664,32276936,10000,5635,5.36
eu-2005.egr,862664,32276936,100000,51981,7.9
europe_osm.egr,50912018,108109320,100,66,101.91
europe_osm.egr,50912018,108109320,1000,598,107.86
europe_osm.egr,50912018,108109320,10000,5936,154.58
europe_osm.egr,50912018,108109320,100000,58723,186.38
GAP-road.egr,23947347,57708624,100,68,53.74
GAP-road.egr,23947347,57708624,1000,707,44.0
GAP-road.egr,23947347,57708624,10000,6892,62.32
GAP-road.egr,23947347,57708624,100000,73295,79.97
germany_osm.egr,11548845,24738362,100,68,23.45
germany_osm.egr,11548845,24738362,1000,628,30.24
germany_osm.egr,11548845,24738362,10000,6597,38.16
germany_osm.egr,11548845,24738362,100000,67754,56.23
higgs-twitter.egr,456626,25017136,100,56,2.84
higgs-twitter.egr,456626,25017136,1000,548,3.07
higgs-twitter.egr,456626,25017136,10000,6004,5.81
higgs-twitter.egr,456626,25017136,100000,26977,7.25
hollywood-2009.egr,1139905,112840436,100,58,4.02
hollywood-2009.egr,1139905,112840436,1000,587,5.4
hollywood-2009.egr,1139905,112840436,10000,5878,7.36
hollywood-2009.egr,1139905,112840436,100000,49340,8.8
hugebubbles-00020.egr,21198119,63580358,100,50,0.0
hugebubbles-00020.egr,21198119,63580358,1000,458,0.0
hugebubbles-00020.egr,21198119,63580358,10000,4715,0.0
hugebubbles-00020.egr,21198119,63580358,100000,33709,0.0
in-2004.egr,1382908,27183212,100,52,3.74
in-2004.egr,1382908,27183212,1000,580,4.14
in-2004.egr,1382908,27183212,10000,5896,7.54
in-2004.egr,1382908,27183212,100000,62929,9.49
indochina-2004.egr,7414866,301970226,100,49,13.28
indochina-2004.egr,7414866,301970226,1000,534,23.24
indochina-2004.egr,7414866,301970226,10000,5464,22.03
indochina-2004.egr,7414866,301970226,100000,54536,29.66
kmer_A2a.egr,170728175,360595876,100,80,636.63
kmer_A2a.egr,170728175,360595876,1000,816,723.21
kmer_A2a.egr,170728175,360595876,10000,7929,801.61
kmer_A2a.egr,170728175,360595876,100000,81665,980.92
kmer_P1a.egr,139353211,297845870,100,64,464.58
kmer_P1a.egr,139353211,297845870,1000,706,546.32
kmer_P1a.egr,139353211,297845870,10000,7144,638.32
kmer_P1a.egr,139353211,297845870,100000,70991,781.39
kmer_U1a.egr,67716231,138866824,100,53,233.29
kmer_U1a.egr,67716231,138866824,1000,579,277.08
kmer_U1a.egr,67716231,138866824,10000,5776,360.77
kmer_U1a.egr,67716231,138866824,100000,51578,480.38
kmer_V1r.egr,214005017,465410920,100,51,656.48
kmer_V1r.egr,214005017,465410920,1000,576,787.77
kmer_V1r.egr,214005017,465410920,10000,5722,890.27
kmer_V1r.egr,214005017,465410920,100000,48910,1058.92
kmer_V2a.egr,55042369,117248284,100,55,188.49
kmer_V2a.egr,55042369,117248284,1000,589,221.04
kmer_V2a.egr,55042369,117248284,10000,6414,271.95
kmer_V2a.egr,55042369,117248284,100000,46132,366.73
kron_g500-logn18.egr,262144,21269364,100,55,2.54
kron_g500-logn18.egr,262144,21269364,1000,567,2.78
kron_g500-logn18.egr,262144,21269364,10000,5789,5.22
kron_g500-logn18.egr,262144,21269364,100000,50493,5.77
kron_g500-logn19.egr,524288,43791852,100,61,2.89
kron_g500-logn19.egr,524288,43791852,1000,644,3.37
kron_g500-logn19.egr,524288,43791852,10000,5189,6.03
kron_g500-logn19.egr,524288,43791852,100000,55049,7.28
kron_g500-logn20.egr,1048576,89745562,100,52,3.64
kron_g500-logn20.egr,1048576,89745562,1000,151,4.71
kron_g500-logn20.egr,1048576,89745562,10000,911,7.05
kron_g500-logn20.egr,1048576,89745562,100000,4924,8.79
kron_g500-logn21.egr,2097152,183188180,100,59,5.5
kron_g500-logn21.egr,2097152,183188180,1000,105,6.73
kron_g500-logn21.egr,2097152,183188180,10000,888,10.57
kron_g500-logn21.egr,2097152,183188180,100000,8293,12.9
ljournal-2008.egr,5363260,99028690,100,64,10.87
ljournal-2008.egr,5363260,99028690,1000,728,12.9
ljournal-2008.egr,5363260,99028690,10000,5757,15.26
ljournal-2008.egr,5363260,99028690,100000,63778,19.3
rgg_n_2_23_s0.egr,8388608,127002794,100,60,20.32
rgg_n_2_23_s0.egr,8388608,127002794,1000,551,20.05
rgg_n_2_23_s0.egr,8388608,127002794,10000,5465,20.45
rgg_n_2_23_s0.egr,8388608,127002794,100000,67258,19.42
rgg_n_2_24_s0.egr,16777216,265114402,100,58,31.07
rgg_n_2_24_s0.egr,16777216,265114402,1000,535,34.75
rgg_n_2_24_s0.egr,16777216,265114402,10000,5441,28.15
rgg_n_2_24_s0.egr,16777216,265114402,100000,54058,27.36
road_usa.egr,23947347,57708624,100,60,44.82
road_usa.egr,23947347,57708624,1000,511,46.13
road_usa.egr,23947347,57708624,10000,6356,55.69
road_usa.egr,23947347,57708624,100000,54320,75.72
soc-LiveJournal1.egr,4847571,85706224,100,58,12.92
soc-LiveJournal1.egr,4847571,85706224,1000,604,15.15
soc-LiveJournal1.egr,4847571,85706224,10000,5175,16.69
soc-LiveJournal1.egr,4847571,85706224,100000,56067,20.14
sx-stackoverflow.egr,2601977,56414194,100,60,6.66
sx-stackoverflow.egr,2601977,56414194,1000,517,8.39
sx-stackoverflow.egr,2601977,56414194,10000,6044,11.87
sx-stackoverflow.egr,2601977,56414194,100000,10372,14.75
uk-2002.egr,18520486,523651232,100,82,38.26
uk-2002.egr,18520486,523651232,1000,826,40.45
uk-2002.egr,18520486,523651232,10000,8590,50.1
uk-2002.egr,18520486,523651232,100000,81068,64.8
uk-2005.egr,39459925,1566080060,100,80,78.79
uk-2005.egr,39459925,1566080060,1000,777,88.14
uk-2005.egr,39459925,1566080060,10000,7994,108.43
uk-2005.egr,39459925,1566080060,100000,77016,128.3
web-BerkStan.egr,685230,13300290,100,89,3.16
web-BerkStan.egr,685230,13300290,1000,878,3.7
web-BerkStan.egr,685230,13300290,10000,8884,5.5
web-BerkStan.egr,685230,13300290,100000,87413,7.84
wiki-topcats.egr,1791489,50888414,100,52,4.57
wiki-topcats.egr,1791489,50888414,1000,552,4.76
wiki-topcats.egr,1791489,50888414,10000,6615,7.7
wiki-topcats.egr,1791489,50888414,100000,66155,7.7
