filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Pointer Jumping,Super graph Creation,finding unique comps,Update rep array
GAP-road.egr,28744,23947347,57708624,100000,63.1163,53.24,5.3,3.49,1.07,0.01
GAP-road.egr,33307,23947347,57708624,100000,59.9541,52.11,5.29,1.46,1.07,0.01
GAP-road.egr,25408,23947347,57708624,100000,62.0674,52.09,5.29,3.6,1.07,0.01
GAP-road.egr,4799,23947347,57708624,100000,62.0494,51.63,5.28,4.04,1.08,0.01
GAP-road.egr,34097,23947347,57708624,100000,60.988,52.39,5.29,2.23,1.07,0.01
GAP-road.egr,2815,23947347,57708624,10000,48.3606,40.97,4.22,2.1,1.07,0.01
GAP-road.egr,2405,23947347,57708624,10000,57.8451,46.6,5.29,4.87,1.07,0.02
GAP-road.egr,3018,23947347,57708624,10000,62.0426,52.11,5.28,3.57,1.07,0.01
GAP-road.egr,1390,23947347,57708624,10000,63.1086,53.09,5.29,3.63,1.08,0.01
GAP-road.egr,1951,23947347,57708624,10000,48.3744,39.93,5.28,2.08,1.07,0.02
GAP-road.egr,29,23947347,57708624,100,52.5569,45.78,5.27,0.42,1.07,0.01
GAP-road.egr,16,23947347,57708624,100,59.9293,52.84,5.28,0.72,1.07,0.01
GAP-road.egr,27,23947347,57708624,100,58.8751,52.13,5.27,0.38,1.07,0.01
GAP-road.egr,47,23947347,57708624,100,44.1722,37.26,5.28,0.55,1.07,0.01
GAP-road.egr,43,23947347,57708624,100,58.8687,51.5,5.28,1.0,1.07,0.01
GAP-road.egr,201,23947347,57708624,1000,56.5093,49.61,5.01,0.8,1.08,0.01
GAP-road.egr,261,23947347,57708624,1000,50.4653,43.52,5.28,0.58,1.07,0.02
GAP-road.egr,32,23947347,57708624,1000,59.9202,52.34,5.28,1.22,1.07,0.01
GAP-road.egr,124,23947347,57708624,1000,59.947,52.81,5.28,0.76,1.08,0.02
GAP-road.egr,107,23947347,57708624,1000,57.8384,50.99,5.28,0.48,1.08,0.01
