filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
as-Skitter.egr,6414,1696415,22192106,100000,9.81713,6.99,1.44,1.06,0.31,0.01
as-Skitter.egr,5797,1696415,22192106,100000,10.8584,7.42,2.05,1.07,0.31,0.01
as-Skitter.egr,6321,1696415,22192106,100000,10.8584,7.1,2.38,1.06,0.31,0.01
as-Skitter.egr,6342,1696415,22192106,100000,10.8669,7.13,2.35,1.07,0.32,0.01
as-Skitter.egr,6689,1696415,22192106,100000,10.8593,7.24,2.23,1.07,0.31,0.01
as-Skitter.egr,642,1696415,22192106,10000,9.78874,7.05,1.36,1.06,0.31,0.01
as-Skitter.egr,669,1696415,22192106,10000,9.79099,7.28,1.13,1.06,0.31,0.01
as-Skitter.egr,664,1696415,22192106,10000,9.79123,7.12,1.29,1.06,0.31,0.01
as-Skitter.egr,638,1696415,22192106,10000,9.79078,7.4,1.01,1.06,0.31,0.01
as-Skitter.egr,597,1696415,22192106,10000,9.79562,6.92,1.49,1.07,0.31,0.01
as-Skitter.egr,7,1696415,22192106,100,8.74779,7.13,0.23,1.06,0.31,0.01
as-Skitter.egr,8,1696415,22192106,100,8.74201,7.01,0.35,1.06,0.31,0.01
as-Skitter.egr,3,1696415,22192106,100,9.79434,7.41,1.0,1.06,0.31,0.01
as-Skitter.egr,11,1696415,22192106,100,8.74952,7.07,0.29,1.07,0.31,0.01
as-Skitter.egr,6,1696415,22192106,100,9.79256,7.2,1.2,1.07,0.31,0.01
as-Skitter.egr,55,1696415,22192106,1000,9.79381,7.3,1.11,1.07,0.31,0.01
as-Skitter.egr,80,1696415,22192106,1000,9.79584,7.25,1.16,1.07,0.31,0.01
as-Skitter.egr,65,1696415,22192106,1000,9.79927,7.27,1.15,1.07,0.31,0.01
as-Skitter.egr,59,1696415,22192106,1000,9.79709,7.32,1.1,1.07,0.31,0.01
as-Skitter.egr,66,1696415,22192106,1000,9.79342,7.31,1.1,1.06,0.31,0.01
