filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
coPapersCiteseer.egr,1550,434102,32073440,100000,6.56811,3.84,1.44,1.06,0.21,0.01
coPapersCiteseer.egr,1536,434102,32073440,100000,6.56772,3.86,1.42,1.06,0.21,0.01
coPapersCiteseer.egr,1334,434102,32073440,100000,7.60977,3.95,2.38,1.07,0.21,0.01
coPapersCiteseer.egr,1298,434102,32073440,100000,7.6093,4.02,2.31,1.06,0.21,0.01
coPapersCiteseer.egr,1447,434102,32073440,100000,7.6018,3.88,2.45,1.06,0.21,0.01
coPapersCiteseer.egr,152,434102,32073440,10000,11.8129,3.92,6.61,1.06,0.22,0.01
coPapersCiteseer.egr,141,434102,32073440,10000,7.607,4.06,2.26,1.06,0.21,0.01
coPapersCiteseer.egr,154,434102,32073440,10000,6.55219,3.86,1.41,1.06,0.21,0.01
coPapersCiteseer.egr,131,434102,32073440,10000,7.61055,3.9,2.42,1.06,0.21,0.01
coPapersCiteseer.egr,127,434102,32073440,10000,7.60827,4.0,2.32,1.06,0.21,0.01
coPapersCiteseer.egr,1,434102,32073440,100,5.49548,3.86,0.35,1.07,0.21,0.01
coPapersCiteseer.egr,1,434102,32073440,100,5.49196,3.82,0.39,1.06,0.21,0.01
coPapersCiteseer.egr,3,434102,32073440,100,5.49593,3.95,0.26,1.06,0.21,0.01
coPapersCiteseer.egr,6,434102,32073440,100,5.49679,3.91,0.3,1.06,0.22,0.01
coPapersCiteseer.egr,2,434102,32073440,100,5.49385,3.88,0.33,1.07,0.21,0.01
coPapersCiteseer.egr,18,434102,32073440,1000,5.49291,3.85,0.36,1.06,0.21,0.01
coPapersCiteseer.egr,16,434102,32073440,1000,6.54453,4.04,1.22,1.07,0.21,0.01
coPapersCiteseer.egr,14,434102,32073440,1000,5.49149,3.94,0.27,1.07,0.21,0.01
coPapersCiteseer.egr,15,434102,32073440,1000,5.49139,3.87,0.34,1.06,0.21,0.01
coPapersCiteseer.egr,13,434102,32073440,1000,5.49463,3.82,0.39,1.06,0.21,0.01
