filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
coPapersDBLP.egr,2252,540486,30491458,100000,6.56259,4.2,1.07,1.06,0.23,0.01
coPapersDBLP.egr,2301,540486,30491458,100000,6.56798,4.22,1.05,1.06,0.23,0.01
coPapersDBLP.egr,2291,540486,30491458,100000,7.62216,4.45,1.87,1.06,0.23,0.01
coPapersDBLP.egr,2278,540486,30491458,100000,6.56872,4.26,1.0,1.07,0.23,0.01
coPapersDBLP.egr,2122,540486,30491458,100000,6.5613,4.14,1.12,1.06,0.23,0.01
coPapersDBLP.egr,203,540486,30491458,10000,7.60859,4.5,1.81,1.06,0.22,0.01
coPapersDBLP.egr,222,540486,30491458,10000,6.56072,4.15,1.11,1.06,0.23,0.01
coPapersDBLP.egr,222,540486,30491458,10000,6.56288,4.33,0.94,1.07,0.22,0.01
coPapersDBLP.egr,238,540486,30491458,10000,6.56319,4.14,1.12,1.07,0.23,0.01
coPapersDBLP.egr,241,540486,30491458,10000,6.56474,4.29,0.97,1.07,0.23,0.01
coPapersDBLP.egr,4,540486,30491458,100,6.56981,4.32,0.94,1.07,0.23,0.01
coPapersDBLP.egr,2,540486,30491458,100,6.55857,4.23,1.02,1.06,0.23,0.01
coPapersDBLP.egr,2,540486,30491458,100,6.56138,4.3,0.96,1.06,0.22,0.01
coPapersDBLP.egr,2,540486,30491458,100,6.56236,4.32,0.94,1.07,0.23,0.01
coPapersDBLP.egr,2,540486,30491458,100,6.5541,4.35,0.91,1.06,0.23,0.01
coPapersDBLP.egr,23,540486,30491458,1000,6.56621,4.2,1.07,1.07,0.23,0.01
coPapersDBLP.egr,27,540486,30491458,1000,6.55899,4.34,0.92,1.07,0.23,0.01
coPapersDBLP.egr,30,540486,30491458,1000,6.56334,4.29,0.97,1.07,0.23,0.01
coPapersDBLP.egr,27,540486,30491458,1000,6.55341,4.26,1.0,1.06,0.23,0.01
coPapersDBLP.egr,27,540486,30491458,1000,6.56017,4.2,1.06,1.06,0.23,0.01
