filename,num_comps,numVertices,numEdges,batch_size,total_time,Eulerian Tour,Super graph Creation,finding unique comps,Pointer Jumping,Update rep array
com-Orkut.egr,1993,3072441,234370166,100000,20.6631,15.95,3.01,1.07,0.62,0.01
com-Orkut.egr,2159,3072441,234370166,100000,17.3899,13.99,1.8,1.07,0.52,0.01
com-Orkut.egr,2025,3072441,234370166,100000,16.2853,12.48,2.25,1.07,0.48,0.01
com-Orkut.egr,2073,3072441,234370166,100000,20.9506,16.68,2.56,1.07,0.62,0.01
com-Orkut.egr,1946,3072441,234370166,100000,22.7693,17.78,3.27,1.08,0.62,0.01
com-Orkut.egr,209,3072441,234370166,10000,21.7158,16.54,3.46,1.08,0.63,0.01
com-Orkut.egr,217,3072441,234370166,10000,16.2965,12.55,2.18,1.07,0.49,0.01
com-Orkut.egr,212,3072441,234370166,10000,20.6579,16.4,2.55,1.07,0.62,0.01
com-Orkut.egr,244,3072441,234370166,10000,21.7011,17.33,2.66,1.07,0.62,0.01
com-Orkut.egr,215,3072441,234370166,10000,16.3155,13.33,1.4,1.07,0.5,0.01
com-Orkut.egr,2,3072441,234370166,100,19.5895,17.0,0.88,1.08,0.62,0.01
com-Orkut.egr,5,3072441,234370166,100,19.5635,17.19,0.66,1.08,0.62,0.01
com-Orkut.egr,2,3072441,234370166,100,19.6084,16.73,1.15,1.08,0.63,0.01
com-Orkut.egr,3,3072441,234370166,100,19.5932,17.22,0.67,1.08,0.62,0.01
com-Orkut.egr,3,3072441,234370166,100,19.5878,17.2,0.69,1.07,0.62,0.01
com-Orkut.egr,20,3072441,234370166,1000,19.5895,16.62,1.26,1.07,0.62,0.01
com-Orkut.egr,18,3072441,234370166,1000,15.2421,12.93,0.74,1.07,0.49,0.01
com-Orkut.egr,21,3072441,234370166,1000,19.5903,16.66,1.21,1.08,0.62,0.01
com-Orkut.egr,25,3072441,234370166,1000,15.3801,12.63,1.03,1.08,0.62,0.01
com-Orkut.egr,21,3072441,234370166,1000,18.5334,16.35,0.48,1.07,0.62,0.01
